月份,诉求来源,工单数量,名次
2023-09,小程序/公众号,1721,1
2023-09,网站,622,2
2023-09,来信,549,3
2023-09,电话,450,4
2023-10,小程序/公众号,2520,1
2023-10,来信,731,2
2023-10,电话,680,3
2023-10,网站,620,4
2023-11,小程序/公众号,2526,1
2023-11,网站,671,2
2023-11,来信,544,3
2023-11,电话,424,4
2023-12,小程序/公众号,1753,1
2023-12,网站,874,2
2023-12,来信,559,3
2023-12,电话,457,4
2024-01,小程序/公众号,2238,1
2024-01,网站,831,2
2024-01,来信,618,3
2024-01,电话,497,4
2024-02,小程序/公众号,1885,1
2024-02,网站,787,2
2024-02,来信,467,3
2024-02,电话,458,4
2024-03,小程序/公众号,2425,1
2024-03,电话,755,2
2024-03,来信,735,3
2024-03,网站,729,4
