region_name,current_date,previous_orders,current_orders,growth_rate
A市,2023-07-06,111,757,581.98
B市,2023-07-02,114,436,282.46
A市,2023-07-25,142,471,231.69
B市,2023-07-29,304,849,179.28
B市,2023-07-22,362,973,168.78
B市,2023-07-27,383,984,156.92
A市,2023-07-04,280,682,143.57
B市,2023-07-15,236,550,133.05
A市,2023-07-31,155,358,130.97
B市,2023-07-19,309,658,112.94
A市,2023-07-29,243,498,104.94
B市,2023-07-05,383,773,101.83
A市,2023-07-08,449,878,95.55
A市,2023-07-15,384,730,90.1
B市,2023-07-03,436,823,88.76
A市,2023-07-17,386,679,75.91
B市,2023-07-10,406,711,75.12
A市,2023-07-22,318,506,59.12
A市,2023-07-19,281,440,56.58
B市,2023-07-31,414,617,49.03
A市,2023-07-20,440,653,48.41
B市,2023-07-13,265,382,44.15
B市,2023-07-08,754,956,26.79
B市,2023-07-16,550,686,24.73
A市,2023-07-12,477,574,20.34
