region_name,busi_date
A县,2022-08-01
B市,2022-08-02
A县,2022-08-02
A1镇,2022-08-02
B市,2022-08-05
A1镇,2022-08-05
B县,2022-08-06
A市,2022-08-07
B市,2022-08-08
A市,2022-08-09
A县,2022-08-10
A1镇,2022-08-11
A县,2022-08-12
B1镇,2022-08-12
B1镇,2022-08-13
A市,2022-08-14
A1镇,2022-08-14
A市,2022-08-15
A县,2022-08-16
A县,2022-08-17
B县,2022-08-17
B市,2022-08-18
B1镇,2022-08-18
B市,2022-08-19
A县,2022-08-19
A1镇,2022-08-19
B县,2022-08-21
B1镇,2022-08-21
A县,2022-08-23
A市,2022-08-25
A县,2022-08-26
A1镇,2022-08-27
B市,2022-08-29
B县,2022-08-29
A市,2022-08-30
B县,2022-08-30
A1镇,2022-08-30
