region_name,busi_date
B1镇,2024-04-01
A县,2024-04-02
B市,2024-04-03
A1镇,2024-04-03
B1镇,2024-04-05
A县,2024-04-06
B1镇,2024-04-06
A1镇,2024-04-08
A县,2024-04-10
B县,2024-04-10
A市,2024-04-11
B市,2024-04-11
A1镇,2024-04-12
A市,2024-04-14
A1镇,2024-04-14
B1镇,2024-04-16
A县,2024-04-17
B县,2024-04-17
A1镇,2024-04-18
B1镇,2024-04-18
B1镇,2024-04-19
A县,2024-04-20
B县,2024-04-20
A1镇,2024-04-22
B市,2024-04-23
A1镇,2024-04-23
B县,2024-04-24
B市,2024-04-25
B县,2024-04-28
A1镇,2024-04-29
A1镇,2024-04-30
