region_name,busi_date
B市,2023-11-02
A1镇,2023-11-02
A市,2023-11-03
B市,2023-11-04
A1镇,2023-11-04
B市,2023-11-05
A县,2023-11-05
A1镇,2023-11-05
B市,2023-11-06
B市,2023-11-09
A1镇,2023-11-10
B1镇,2023-11-10
A县,2023-11-12
B1镇,2023-11-12
A县,2023-11-13
A县,2023-11-15
A1镇,2023-11-15
A1镇,2023-11-17
A市,2023-11-18
B市,2023-11-19
B1镇,2023-11-19
A市,2023-11-20
A市,2023-11-21
A县,2023-11-22
B市,2023-11-23
B1镇,2023-11-23
B县,2023-11-25
A1镇,2023-11-26
B市,2023-11-27
A县,2023-11-27
A市,2023-11-28
B县,2023-11-28
