busi_date,dept_name,rollback_rate
2025-06-01,档案管理部,19.61
2025-06-02,业务二科,18.52
2025-06-03,档案管理部,19.44
2025-06-04,档案管理部,18.82
2025-06-05,承办复核部A,19.89
2025-06-06,客户回访三组,20.0
2025-06-07,热线审核中心,19.3
2025-06-08,业务二科,15.85
2025-06-09,热线复核中心,18.18
2025-06-10,结案二部,18.93
2025-06-11,客户回访一组,16.34
2025-06-12,异常工单组,19.47
2025-06-13,档案管理部,20.0
2025-06-14,结案一部,19.35
2025-06-15,业务一科,19.21
2025-06-16,档案管理部,19.48
2025-06-17,异常工单组,19.88
2025-06-18,业务一科,18.57
2025-06-19,承办复核部A,19.38
2025-06-20,客服二部,18.13
2025-06-21,异常工单组,18.68
2025-06-22,热线审核中心,19.71
2025-06-23,承办单位A,17.45
2025-06-24,客户回访一组,19.38
2025-06-25,业务一科,18.18
2025-06-26,业务二科,12.96
2025-06-27,热线复核中心,19.93
2025-06-28,结案一部,18.6
2025-06-29,承办复核部A,19.23
2025-06-30,客服二部,18.73
