busi_time,reply_on_time_rate
2022-08-19,94.68
2022-08-22,94.38
2022-08-16,80.09
2022-08-12,73.24
2022-08-03,71.66
2022-08-27,61.09
2022-08-06,60.42
2022-08-31,58.62
2022-08-13,54.29
2022-08-07,52.76
2022-08-10,48.96
2022-08-01,48.18
2022-08-17,40.2
2022-08-05,34.32
2022-08-21,31.25
2022-08-25,26.18
2022-08-26,25.4
2022-08-14,23.73
2022-08-15,17.69
2022-08-28,17.48
2022-08-11,16.33
2022-08-20,15.84
2022-08-08,15.77
2022-08-30,13.64
2022-08-18,12.86
2022-08-29,11.29
2022-08-09,8.35
2022-08-02,7.48
2022-08-04,4.62
2022-08-23,4.23
2022-08-24,1.34
