busi_time,reply_on_time_rate
2024-07-07,99.39
2024-07-14,96.23
2024-07-17,90.17
2024-07-31,87.45
2024-07-22,81.34
2024-07-29,80.58
2024-07-26,78.8
2024-07-23,78.27
2024-07-15,75.87
2024-07-28,71.81
2024-07-03,68.42
2024-07-08,64.67
2024-07-11,64.01
2024-07-18,59.27
2024-07-27,58.62
2024-07-06,54.21
2024-07-25,46.98
2024-07-16,46.76
2024-07-13,36.42
2024-07-19,34.52
2024-07-12,33.89
2024-07-21,29.52
2024-07-05,26.59
2024-07-09,22.7
2024-07-01,20.56
2024-07-30,15.0
2024-07-02,13.18
2024-07-24,12.42
2024-07-10,9.6
2024-07-04,3.52
2024-07-20,1.88
