日期,处理阶段,逾期量,严重逾期率
2023-02-05,受理中,70,40.94
2023-02-07,待归档,70,14.97
2023-02-08,待归档,51,30.43
2023-02-08,审核中,56,21.74
2023-02-09,受理中,72,15.0
2023-02-10,受理中,75,22.35
2023-02-10,待归档,57,15.43
2023-02-11,受理中,68,30.23
2023-02-11,办理中,53,25.58
2023-02-12,已回访,59,22.73
2023-02-12,受理中,86,20.21
2023-02-13,受理中,57,35.16
2023-02-14,已回访,63,45.38
2023-02-14,审核中,54,27.43
2023-02-17,已回访,77,24.87
2023-02-18,审核中,81,19.76
2023-02-20,受理中,74,34.21
2023-02-21,办理中,70,28.57
2023-02-22,审核中,64,29.79
2023-02-24,待归档,67,28.0
2023-02-24,已回访,74,23.53
2023-02-25,已回访,55,19.69
