busi_time,reply_on_time_rate
2024-01-31,100.0
2024-01-26,91.8
2024-01-01,91.72
2024-01-20,86.18
2024-01-10,82.66
2024-01-30,77.09
2024-01-05,72.75
2024-01-04,71.43
2024-01-28,69.6
2024-01-07,66.53
2024-01-14,64.89
2024-01-15,62.16
2024-01-03,58.54
2024-01-11,55.61
2024-01-29,54.41
2024-01-27,53.03
2024-01-19,50.33
2024-01-06,42.24
2024-01-09,40.57
2024-01-18,40.55
2024-01-21,39.47
2024-01-13,34.91
2024-01-23,30.59
2024-01-16,29.94
2024-01-17,28.26
2024-01-12,24.83
2024-01-08,20.77
2024-01-24,20.63
2024-01-02,11.23
2024-01-22,5.26
2024-01-25,1.08
