region_name,current_date,previous_orders,current_orders,growth_rate
B市,2023-03-27,132,848,542.42
B市,2023-03-04,135,515,281.48
A市,2023-03-20,300,866,188.67
A市,2023-03-11,300,850,183.33
A市,2023-03-25,327,914,179.51
B市,2023-03-23,311,742,138.59
A市,2023-03-30,288,665,130.9
A市,2023-03-27,274,549,100.36
B市,2023-03-25,212,406,91.51
A市,2023-03-23,469,873,86.14
A市,2023-03-04,252,434,72.22
A市,2023-03-15,398,666,67.34
B市,2023-03-19,535,807,50.84
A市,2023-03-06,462,687,48.7
A市,2023-03-02,555,819,47.57
A市,2023-03-16,666,943,41.59
B市,2023-03-30,371,524,41.24
A市,2023-03-13,475,623,31.16
B市,2023-03-08,553,700,26.58
B市,2023-03-11,593,743,25.3
B市,2023-03-15,621,749,20.61
