日期,处理阶段,逾期量,严重逾期率
2023-06-02,审核中,87,20.11
2023-06-03,办理中,67,42.34
2023-06-06,已回访,65,15.05
2023-06-10,待归档,63,24.84
2023-06-12,审核中,60,32.69
2023-06-13,办理中,72,29.83
2023-06-14,已回访,77,14.29
2023-06-15,办理中,51,33.94
2023-06-16,审核中,68,26.32
2023-06-16,待归档,87,17.44
2023-06-17,受理中,68,36.69
2023-06-20,办理中,62,32.52
2023-06-22,审核中,60,38.64
2023-06-23,待归档,61,22.73
2023-06-25,审核中,55,21.54
2023-06-26,审核中,78,46.01
2023-06-26,待归档,66,30.21
2023-06-28,办理中,55,17.16
2023-06-28,审核中,56,14.96
2023-06-29,受理中,60,14.06
