region_name,current_date,previous_orders,current_orders,growth_rate
B市,2025-04-18,106,906,754.72
A市,2025-04-20,127,744,485.83
B市,2025-04-15,129,666,416.28
B市,2025-04-30,162,717,342.59
B市,2025-04-26,166,673,305.42
A市,2025-04-05,122,442,262.3
B市,2025-04-06,242,872,260.33
A市,2025-04-12,243,589,142.39
B市,2025-04-28,233,548,135.19
A市,2025-04-14,446,972,117.94
B市,2025-04-04,254,527,107.48
A市,2025-04-25,486,852,75.31
A市,2025-04-06,442,774,75.11
B市,2025-04-10,306,528,72.55
A市,2025-04-11,159,243,52.83
A市,2025-04-02,378,561,48.41
A市,2025-04-29,420,608,44.76
B市,2025-04-23,500,714,42.8
A市,2025-04-09,425,604,42.12
B市,2025-04-11,528,747,41.48
B市,2025-04-22,364,500,37.36
B市,2025-04-24,714,899,25.91
