月份,诉求来源,工单数量,名次
2024-11,小程序/公众号,1986,1
2024-11,网站,773,2
2024-11,电话,588,3
2024-11,来信,501,4
2024-12,小程序/公众号,2421,1
2024-12,网站,895,2
2024-12,来信,576,3
2024-12,电话,512,4
2025-01,小程序/公众号,2283,1
2025-01,来信,745,2
2025-01,网站,669,3
2025-01,电话,495,4
2025-02,小程序/公众号,1904,1
2025-02,网站,710,2
2025-02,来信,480,3
2025-02,电话,441,4
2025-03,小程序/公众号,1924,1
2025-03,网站,764,2
2025-03,电话,741,3
2025-03,来信,607,4
2025-04,小程序/公众号,1950,1
2025-04,网站,661,2
2025-04,电话,569,3
2025-04,来信,564,4
2025-05,小程序/公众号,1975,1
2025-05,网站,617,2
2025-05,电话,548,3
2025-05,来信,492,4
2025-06,小程序/公众号,2670,1
2025-06,网站,1107,2
2025-06,电话,606,3
2025-06,来信,598,4
