月份,诉求来源,工单数量,名次
2022-09,小程序/公众号,1888,1
2022-09,网站,703,2
2022-09,来信,493,3
2022-09,电话,473,4
2022-10,小程序/公众号,1709,1
2022-10,网站,873,2
2022-10,来信,693,3
2022-10,电话,514,4
2022-11,小程序/公众号,2100,1
2022-11,来信,703,2
2022-11,网站,622,3
2022-11,电话,587,4
2022-12,小程序/公众号,1753,1
2022-12,网站,732,2
2022-12,来信,583,3
2022-12,电话,467,4
2023-01,小程序/公众号,2122,1
2023-01,网站,683,2
2023-01,电话,567,3
2023-01,来信,549,4
2023-02,小程序/公众号,1746,1
2023-02,网站,821,2
2023-02,电话,577,3
2023-02,来信,479,4
2023-03,小程序/公众号,2212,1
2023-03,电话,752,2
2023-03,来信,655,3
2023-03,网站,642,4
