日期,处理阶段,逾期量,严重逾期率
2025-03-01,受理中,58,15.95
2025-03-02,待归档,74,34.81
2025-03-02,已回访,67,22.29
2025-03-03,办理中,54,31.68
2025-03-06,待归档,85,43.33
2025-03-07,审核中,81,17.78
2025-03-08,待归档,70,41.72
2025-03-08,已回访,53,20.0
2025-03-09,审核中,70,19.13
2025-03-12,受理中,66,29.74
2025-03-13,已回访,54,42.15
2025-03-14,审核中,87,37.77
2025-03-14,已回访,59,33.83
2025-03-18,已回访,59,44.72
2025-03-18,审核中,54,17.99
2025-03-19,已回访,51,22.13
2025-03-20,受理中,70,32.94
2025-03-21,审核中,74,26.97
2025-03-21,已回访,73,24.12
2025-03-21,受理中,71,17.33
2025-03-22,已回访,76,33.33
2025-03-24,审核中,63,20.9
2025-03-25,已回访,73,21.35
2025-03-31,已回访,72,44.22
