日期,处理阶段,逾期量,严重逾期率
2024-02-01,已回访,63,19.17
2024-02-02,已回访,72,27.14
2024-02-03,待归档,91,18.56
2024-02-04,审核中,82,24.1
2024-02-07,受理中,59,39.58
2024-02-07,审核中,56,24.81
2024-02-08,受理中,70,25.67
2024-02-10,办理中,78,34.1
2024-02-10,待归档,58,18.24
2024-02-11,审核中,72,28.09
2024-02-13,审核中,66,45.99
2024-02-13,待归档,62,38.13
2024-02-13,办理中,52,20.97
2024-02-14,办理中,52,38.79
2024-02-15,办理中,68,26.94
2024-02-15,待归档,57,18.18
2024-02-17,办理中,60,30.57
2024-02-17,待归档,66,14.39
2024-02-18,已回访,53,22.76
2024-02-19,待归档,83,41.4
2024-02-19,审核中,51,21.14
2024-02-21,待归档,59,18.6
2024-02-21,已回访,59,15.43
2024-02-22,审核中,72,33.76
2024-02-23,待归档,71,38.04
2024-02-23,受理中,59,19.34
2024-02-24,办理中,82,30.46
2024-02-26,待归档,55,16.77
2024-02-27,受理中,72,31.67
2024-02-27,办理中,56,19.79
2024-02-28,审核中,55,36.5
