busi_date,dept_name,rollback_rate
2023-07-01,客户回访二组,18.82
2023-07-02,承办单位B,18.01
2023-07-03,热线复核中心,18.99
2023-07-04,承办复核部A,19.51
2023-07-05,承办复核部A,18.47
2023-07-06,客户回访二组,19.57
2023-07-07,档案管理部,20.0
2023-07-08,客户回访二组,19.46
2023-07-09,客户回访一组,18.14
2023-07-10,业务一科,17.39
2023-07-11,档案管理部,17.65
2023-07-12,结案一部,18.69
2023-07-13,结案一部,19.77
2023-07-14,热线复核中心,17.89
2023-07-15,客户回访一组,19.28
2023-07-16,承办复核部A,18.42
2023-07-17,客户回访二组,18.79
2023-07-18,异常工单组,19.92
2023-07-19,客户回访二组,18.63
2023-07-20,承办复核部A,17.24
2023-07-21,热线审核中心,19.73
2023-07-22,结案一部,18.75
2023-07-23,结案二部,19.46
2023-07-24,客服二部,19.09
2023-07-25,承办复核部A,19.53
2023-07-26,业务一科,17.17
2023-07-27,客户回访二组,19.93
2023-07-28,承办单位B,19.41
2023-07-29,客服二部,16.88
2023-07-30,结案一部,19.48
2023-07-31,热线复核中心,19.43
