region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
B1镇,996,18.37,18.78,16.87,45.98
A市,996,22.79,10.64,36.35,30.22
A市,995,13.97,20.7,46.83,18.49
B县,977,21.7,6.14,36.64,35.52
B1镇,969,2.68,6.81,42.31,48.19
A市,960,10.42,26.77,37.19,25.63
A县,958,35.49,34.86,16.6,13.05
B1镇,943,42.84,21.31,3.5,32.34
B市,922,36.88,18.76,25.27,19.09
B市,906,29.25,9.38,55.52,5.85
A市,905,11.82,30.5,34.14,23.54
A市,893,26.43,10.41,34.27,28.89
B市,891,6.62,6.4,74.97,12.01
A县,884,2.26,33.26,29.41,35.07
B1镇,879,30.26,35.04,13.42,21.27
A县,876,24.54,28.54,24.77,22.15
A1镇,874,32.84,37.41,12.7,17.05
B市,868,51.73,5.41,21.43,21.43
B市,858,3.85,19.46,38.23,38.46
B县,853,0.82,24.15,61.08,13.95
B县,852,31.57,23.12,31.57,13.73
A市,850,32.12,26.47,14.12,27.29
B1镇,839,31.82,16.45,18.24,33.49
A县,837,53.41,2.27,19.47,24.85
A1镇,837,51.02,24.97,4.78,19.24
B县,836,23.56,26.08,36.6,13.76
B县,836,12.44,20.81,33.49,33.25
A县,830,23.49,34.7,32.17,9.64
A市,827,15.96,15.24,33.25,35.55
A市,827,30.96,18.14,40.02,10.88
B县,818,14.67,52.32,14.67,18.34
B县,813,36.04,29.03,25.58,9.35
B市,788,18.53,39.72,5.2,36.55
A1镇,786,4.45,31.3,9.67,54.58
A市,785,1.27,44.84,15.67,38.22
A1镇,777,20.59,39.12,28.7,11.58
B1镇,777,2.57,24.97,25.61,46.85
B县,777,28.44,21.24,0.64,49.68
A市,777,60.49,0.26,33.59,5.66
B1镇,774,27.78,46.64,17.7,7.88
A1镇,770,17.27,36.36,24.03,22.34
A1镇,769,5.59,14.43,41.74,38.23
A县,762,59.19,0.13,6.04,34.65
B县,759,13.7,33.6,32.02,20.69
A1镇,754,28.65,20.82,35.01,15.52
A1镇,747,46.32,1.34,12.05,40.29
A1镇,741,38.87,22.13,19.57,19.43
B县,736,17.26,43.48,26.9,12.36
A县,735,24.9,37.96,12.38,24.76
A1镇,733,34.52,2.86,18.83,43.79
B1镇,732,6.97,27.6,52.6,12.84
A市,721,49.24,18.86,10.4,21.5
A市,718,34.68,16.71,0.28,48.33
A市,716,6.15,32.54,28.63,32.68
B市,714,15.69,31.09,2.94,50.28
B市,713,13.04,66.34,15.43,5.19
B县,706,0.57,40.93,26.06,32.44
B县,697,13.63,38.31,30.42,17.65
A1镇,695,30.5,16.4,28.63,24.46
B1镇,694,20.75,9.51,46.83,22.91
A市,689,18.43,51.09,12.19,18.29
B市,686,49.56,3.5,20.26,26.68
A县,685,35.18,0.29,24.96,39.56
A1镇,683,30.89,37.63,6.44,25.04
B市,681,0.88,21.29,36.27,41.56
A1镇,676,31.21,18.2,21.6,28.99
B1镇,675,19.26,22.37,22.96,35.41
B1镇,672,8.18,2.23,48.66,40.92
B1镇,671,13.86,23.85,29.21,33.08
A市,670,39.25,39.85,19.1,1.79
B市,667,0.15,45.13,45.58,9.15
A县,659,0.3,34.6,27.01,38.09
B市,656,19.51,8.23,37.65,34.6
A市,653,52.07,32.62,12.1,3.22
A县,638,66.77,3.45,25.55,4.23
A县,637,38.78,14.91,13.34,32.97
B1镇,632,20.25,15.51,32.44,31.8
B1镇,631,25.36,24.09,11.57,38.99
B1镇,629,10.65,9.38,44.99,34.98
A市,616,73.7,8.12,10.71,7.47
A市,616,0.0,59.09,14.29,26.62
A县,615,23.58,22.93,36.91,16.59
A县,610,2.46,37.38,44.92,15.25
A1镇,606,43.73,16.83,3.47,35.97
B市,605,11.74,20.99,58.02,9.26
B1镇,599,24.54,7.01,34.39,34.06
B市,599,22.04,11.85,42.24,23.87
A县,598,22.41,32.27,22.24,23.08
A1镇,597,14.91,14.07,34.84,36.18
A县,593,16.02,6.41,69.98,7.59
A市,585,2.74,50.94,12.99,33.33
A1镇,584,0.34,47.26,14.9,37.5
A1镇,577,17.85,31.2,33.28,17.68
A市,572,54.37,4.37,19.76,21.5
B县,568,39.44,42.96,13.03,4.58
B县,563,32.15,32.68,15.28,19.89
A县,559,26.65,20.75,25.4,27.19
A县,548,26.82,24.64,21.53,27.01
A县,543,26.15,42.17,20.26,11.42
A1镇,528,9.85,34.09,6.06,50.0
B县,524,40.65,31.3,16.22,11.83
B市,518,11.0,11.58,28.19,49.23
A1镇,515,23.69,14.37,15.73,46.21
A市,514,10.89,24.12,31.13,33.85
A市,512,9.77,31.05,26.76,32.42
B1镇,510,44.51,40.2,8.24,7.06
B县,492,11.99,16.87,30.28,40.85
A县,485,24.33,36.29,21.03,18.35
A1镇,484,6.4,37.4,27.48,28.72
A1镇,477,28.93,29.35,16.35,25.37
B1镇,476,8.19,34.24,8.19,49.37
A市,473,11.21,35.31,23.47,30.02
B县,461,6.94,25.6,42.95,24.51
A县,455,27.91,9.23,49.67,13.19
A市,455,63.52,14.73,1.98,19.78
B1镇,445,23.37,4.04,36.18,36.4
A市,441,3.17,49.89,17.91,29.02
B市,440,10.0,30.91,34.32,24.77
A1镇,439,12.76,4.1,57.18,25.97
B市,431,18.1,37.12,11.37,33.41
B1镇,415,24.34,20.72,36.39,18.55
B县,409,14.18,15.4,35.94,34.47
B县,398,15.83,36.68,21.86,25.63
B县,390,20.0,18.46,21.54,40.0
A县,383,37.08,13.05,31.33,18.54
A市,377,15.92,32.89,11.67,39.52
A县,376,44.15,36.17,1.6,18.09
A1镇,370,15.14,14.59,34.05,36.22
B1镇,361,34.35,44.04,4.71,16.9
A1镇,358,5.31,25.14,32.4,37.15
B县,355,29.58,0.28,44.51,25.63
A1镇,345,38.84,14.78,8.99,37.39
A县,328,46.04,41.77,4.88,7.32
A1镇,327,29.05,35.78,3.36,31.8
A县,325,7.38,44.62,41.54,6.46
A县,322,39.13,5.59,5.28,50.0
B县,317,43.85,24.61,22.71,8.83
A1镇,316,37.34,24.68,10.44,27.53
B市,313,15.02,7.67,43.45,33.87
B1镇,310,21.29,1.61,18.06,59.03
B1镇,301,13.62,35.22,18.94,32.23
B1镇,300,3.0,13.33,77.0,6.67
A县,293,16.72,42.32,39.59,1.37
B县,292,17.81,27.74,39.04,15.41
B县,288,37.85,37.85,9.03,15.28
A1镇,284,17.96,31.69,44.72,5.63
B市,279,37.28,18.28,35.84,8.6
A县,264,26.52,33.71,17.8,21.97
B市,262,24.81,1.91,32.82,40.46
A市,254,7.48,4.72,43.7,44.09
A市,252,24.21,18.25,7.94,49.6
A市,238,40.34,23.11,20.17,16.39
B县,228,10.96,21.49,49.56,17.98
B县,227,21.15,46.26,15.42,17.18
A1镇,220,33.18,1.36,35.45,30.0
B1镇,216,15.74,18.98,42.13,23.15
A县,215,33.49,36.28,18.6,11.63
B县,211,21.33,22.27,24.64,31.75
B市,211,29.86,18.48,27.96,23.7
A县,210,8.57,11.9,37.14,42.38
B1镇,202,37.62,30.2,22.28,9.9
B县,200,36.5,33.0,22.0,8.5
B市,199,26.13,25.63,16.08,32.16
B市,197,22.84,15.23,25.89,36.04
B县,196,25.0,30.1,43.37,1.53
B1镇,192,18.75,27.08,40.63,13.54
A县,192,32.29,16.15,40.1,11.46
B市,188,16.49,38.3,7.98,37.23
A市,184,53.26,32.07,1.09,13.59
A市,182,49.45,6.04,8.24,36.26
B市,167,33.53,52.1,5.39,8.98
B市,165,52.12,7.27,1.82,38.79
B1镇,164,0.61,37.2,24.39,37.8
A1镇,160,41.88,35.63,18.75,3.75
B1镇,153,28.76,22.88,18.95,29.41
B市,152,13.82,1.32,23.03,61.84
B市,152,21.05,11.18,22.37,45.39
B县,150,22.67,34.0,20.67,22.67
B市,149,51.68,16.11,23.49,8.72
B1镇,130,37.69,13.08,28.46,20.77
B市,122,35.25,25.41,30.33,9.02
A县,119,29.41,20.17,9.24,41.18
B1镇,108,45.37,4.63,23.15,26.85
B市,108,36.11,27.78,35.19,0.93
A1镇,107,33.64,20.56,11.21,34.58
B县,104,5.77,42.31,37.5,14.42
