busi_date,dept_name,rollback_rate
2024-08-01,热线复核中心,18.02
2024-08-02,承办复核部A,19.87
2024-08-03,承办复核部A,18.47
2024-08-04,承办复核部A,18.06
2024-08-05,结案二部,19.67
2024-08-06,业务一科,19.53
2024-08-07,客户回访一组,19.74
2024-08-08,承办单位B,19.3
2024-08-09,承办复核部A,20.0
2024-08-10,业务一科,16.95
2024-08-11,热线审核中心,19.79
2024-08-12,档案管理部,19.9
2024-08-13,客服二部,19.64
2024-08-14,承办单位A,18.6
2024-08-15,客户回访三组,17.14
2024-08-16,客户回访三组,19.9
2024-08-17,客户回访三组,16.67
2024-08-18,承办单位B,17.86
2024-08-19,客户回访一组,20.0
2024-08-20,结案二部,18.83
2024-08-21,客户回访一组,19.43
2024-08-22,承办复核部A,19.84
2024-08-23,客服二部,19.93
2024-08-24,承办复核部A,19.62
2024-08-25,承办单位B,19.35
2024-08-26,客户回访一组,19.66
2024-08-27,承办复核部A,19.39
2024-08-28,承办单位B,18.97
2024-08-29,结案二部,18.58
2024-08-30,客户回访三组,18.55
2024-08-31,承办复核部A,19.1
