busi_date,dept_name,rollback_rate
2023-06-01,承办单位B,19.44
2023-06-02,热线复核中心,19.23
2023-06-03,客户回访二组,20.0
2023-06-04,承办复核部A,19.32
2023-06-05,客户回访二组,19.37
2023-06-06,客服二部,19.28
2023-06-07,热线审核中心,20.0
2023-06-08,业务一科,19.37
2023-06-09,业务一科,18.75
2023-06-10,承办复核部A,19.28
2023-06-11,承办单位A,18.44
2023-06-12,业务一科,19.86
2023-06-13,承办复核部A,19.28
2023-06-14,客服二部,17.39
2023-06-15,异常工单组,15.28
2023-06-16,业务一科,18.85
2023-06-17,异常工单组,19.74
2023-06-18,客服二部,17.32
2023-06-19,客服二部,17.41
2023-06-20,业务二科,17.8
2023-06-21,客户回访二组,20.0
2023-06-22,客户回访一组,19.35
2023-06-23,承办复核部A,19.61
2023-06-24,客户回访二组,18.14
2023-06-25,业务一科,19.71
2023-06-26,业务二科,15.79
2023-06-27,承办单位B,18.57
2023-06-28,客户回访二组,18.79
2023-06-29,热线复核中心,18.39
2023-06-30,客户回访三组,19.3
