busi_date,dept_name,rollback_rate
2022-10-01,异常工单组,16.36
2022-10-02,结案二部,20.0
2022-10-03,档案管理部,16.96
2022-10-04,结案一部,19.93
2022-10-05,客户回访一组,18.92
2022-10-06,异常工单组,20.0
2022-10-07,承办单位B,17.77
2022-10-08,热线复核中心,18.8
2022-10-09,客户回访三组,15.79
2022-10-10,热线审核中心,19.75
2022-10-11,热线审核中心,18.87
2022-10-12,客服二部,18.75
2022-10-13,客户回访三组,19.01
2022-10-14,客户回访三组,19.14
2022-10-15,结案二部,15.58
2022-10-16,业务一科,19.79
2022-10-17,客户回访三组,18.87
2022-10-18,结案一部,20.0
2022-10-19,业务二科,17.95
2022-10-20,客服二部,19.35
2022-10-21,业务一科,19.57
2022-10-22,业务一科,18.82
2022-10-23,结案二部,19.75
2022-10-24,业务二科,18.64
2022-10-25,承办复核部A,18.52
2022-10-26,结案一部,17.05
2022-10-27,客服二部,18.54
2022-10-28,业务二科,17.61
2022-10-29,客服二部,19.78
2022-10-30,结案一部,19.49
2022-10-31,业务一科,20.0
