busi_date,dept_name,rollback_rate
2024-05-01,承办单位B,19.31
2024-05-02,承办复核部A,18.41
2024-05-03,承办单位B,18.02
2024-05-04,客服二部,19.75
2024-05-05,承办单位B,18.75
2024-05-06,档案管理部,20.0
2024-05-07,客户回访二组,19.9
2024-05-08,客服二部,18.92
2024-05-09,热线审核中心,17.28
2024-05-10,热线复核中心,20.0
2024-05-11,客户回访一组,19.64
2024-05-12,业务二科,19.02
2024-05-13,承办复核部A,20.0
2024-05-14,客户回访三组,18.81
2024-05-15,热线复核中心,16.36
2024-05-16,热线复核中心,18.23
2024-05-17,承办单位B,18.87
2024-05-18,热线复核中心,18.67
2024-05-19,业务二科,20.0
2024-05-20,承办复核部A,19.18
2024-05-21,结案一部,19.15
2024-05-22,客户回访二组,20.0
2024-05-23,异常工单组,20.0
2024-05-24,业务一科,19.25
2024-05-25,结案二部,17.73
2024-05-26,结案一部,17.0
2024-05-27,客户回访三组,18.03
2024-05-28,热线审核中心,19.28
2024-05-29,结案一部,17.35
2024-05-30,业务二科,18.97
2024-05-31,承办复核部A,19.32
