日期,处理阶段,逾期量,严重逾期率
2023-09-01,办理中,51,27.65
2023-09-03,已回访,69,22.4
2023-09-05,办理中,64,18.38
2023-09-09,审核中,65,31.25
2023-09-09,受理中,62,22.56
2023-09-10,审核中,79,28.14
2023-09-11,受理中,78,33.33
2023-09-11,审核中,67,29.1
2023-09-11,待归档,65,24.1
2023-09-14,审核中,62,41.27
2023-09-14,待归档,62,41.09
2023-09-14,受理中,57,31.91
2023-09-16,办理中,52,45.79
2023-09-16,审核中,51,14.29
2023-09-17,待归档,68,40.63
2023-09-19,办理中,65,20.21
2023-09-20,已回访,82,18.23
2023-09-20,受理中,85,16.22
2023-09-21,受理中,66,20.42
2023-09-23,已回访,51,35.21
2023-09-23,受理中,64,20.44
2023-09-24,受理中,63,34.9
2023-09-25,待归档,61,44.09
2023-09-25,办理中,65,43.88
2023-09-27,办理中,70,18.09
