月份,诉求来源,工单数量,名次
2022-09,小程序/公众号,2173,1
2022-09,网站,741,2
2022-09,来信,562,3
2022-09,电话,462,4
2022-10,小程序/公众号,2086,1
2022-10,网站,878,2
2022-10,来信,740,3
2022-10,电话,492,4
2022-11,小程序/公众号,1656,1
2022-11,来信,721,2
2022-11,网站,717,3
2022-11,电话,601,4
2022-12,小程序/公众号,2245,1
2022-12,网站,651,2
2022-12,来信,542,3
2022-12,电话,470,4
2023-01,小程序/公众号,2206,1
2023-01,网站,785,2
2023-01,电话,685,3
2023-01,来信,531,4
2023-02,小程序/公众号,1757,1
2023-02,网站,793,2
2023-02,来信,568,3
2023-02,电话,402,4
2023-03,小程序/公众号,2001,1
2023-03,网站,674,2
2023-03,电话,569,3
2023-03,来信,543,4
2023-04,小程序/公众号,2356,1
2023-04,网站,731,2
2023-04,来信,690,3
2023-04,电话,593,4
2023-05,小程序/公众号,2034,1
2023-05,网站,632,2
2023-05,来信,593,3
2023-05,电话,412,4
2023-06,小程序/公众号,1778,1
2023-06,网站,786,2
2023-06,电话,673,3
2023-06,来信,671,4
2023-07,小程序/公众号,2117,1
2023-07,网站,915,2
2023-07,来信,759,3
2023-07,电话,532,4
2023-08,小程序/公众号,2474,1
2023-08,网站,752,2
2023-08,电话,532,3
2023-08,来信,471,4
2023-09,小程序/公众号,2283,1
2023-09,来信,695,2
2023-09,网站,688,3
2023-09,电话,450,4
2023-10,小程序/公众号,1580,1
2023-10,电话,727,2
2023-10,来信,718,3
2023-10,网站,597,4
2023-11,小程序/公众号,2212,1
2023-11,网站,780,2
2023-11,来信,589,3
2023-11,电话,573,4
2023-12,小程序/公众号,2415,1
2023-12,来信,821,2
2023-12,网站,811,3
2023-12,电话,444,4
2024-01,小程序/公众号,2346,1
2024-01,来信,826,2
2024-01,网站,732,3
2024-01,电话,515,4
2024-02,小程序/公众号,1430,1
2024-02,网站,759,2
2024-02,电话,516,3
2024-02,来信,457,4
2024-03,小程序/公众号,2242,1
2024-03,来信,898,2
2024-03,网站,627,3
2024-03,电话,589,4
2024-04,小程序/公众号,2252,1
2024-04,来信,682,2
2024-04,网站,678,3
2024-04,电话,590,4
2024-05,小程序/公众号,2153,1
2024-05,网站,713,2
2024-05,来信,665,3
2024-05,电话,614,4
2024-06,小程序/公众号,2336,1
2024-06,网站,726,2
2024-06,电话,514,3
2024-06,来信,483,4
