region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
A县,1000,28.2,32.9,28.9,10.0
A1镇,995,59.2,18.69,9.65,12.46
A市,994,20.52,24.14,30.68,24.65
A市,989,27.6,11.32,32.15,28.92
A1镇,986,11.87,32.96,37.42,17.75
B县,981,2.24,30.99,17.94,48.83
B县,981,11.01,49.64,2.75,36.6
A县,977,20.98,7.68,62.54,8.8
B市,968,6.4,12.91,39.26,41.43
A市,966,14.6,32.19,7.87,45.34
B市,954,42.03,31.03,16.46,10.48
B县,946,13.64,33.3,25.48,27.59
A1镇,945,19.79,32.59,39.47,8.15
A县,945,40.63,5.4,20.53,33.44
A1镇,929,30.89,25.08,42.95,1.08
A1镇,922,8.46,46.1,12.36,33.08
B市,920,47.83,30.76,12.07,9.35
B市,917,45.91,12.1,18.76,23.23
A县,916,28.93,51.75,14.74,4.59
A市,914,34.35,3.39,20.35,41.9
A市,913,36.8,20.7,31.54,10.95
A1镇,902,16.08,32.48,13.75,37.69
A1镇,900,13.11,25.33,35.67,25.89
B县,896,3.13,18.53,40.29,38.06
B1镇,890,13.6,4.94,24.27,57.19
B市,885,26.78,15.59,28.81,28.81
A市,880,8.86,42.39,0.8,47.95
B县,876,47.15,7.08,41.67,4.11
A1镇,876,2.28,38.36,56.16,3.2
A1镇,876,40.98,14.5,36.53,7.99
A市,874,36.61,25.97,25.97,11.44
B县,868,37.67,26.73,14.29,21.31
A县,857,55.89,2.57,30.22,11.32
B市,854,28.22,25.64,25.29,20.84
A县,848,38.44,9.2,26.06,26.3
B市,840,5.0,0.24,56.43,38.33
A市,832,34.5,16.23,28.73,20.55
B1镇,831,14.92,10.71,39.95,34.42
B市,827,12.33,26.6,30.35,30.71
B1镇,811,32.31,27.5,22.69,17.51
A市,810,36.05,23.09,5.93,34.94
A县,806,12.28,16.5,19.35,51.86
A县,797,29.23,29.36,15.56,25.85
A市,794,27.96,42.82,25.19,4.03
A1镇,790,38.48,35.19,3.8,22.53
B县,790,28.73,31.77,22.78,16.71
B市,787,31.77,11.18,38.75,18.3
B县,779,31.96,37.61,8.86,21.57
A1镇,778,10.41,42.29,4.24,43.06
B1镇,775,9.94,37.03,39.87,13.16
B县,774,23.0,30.36,27.52,19.12
A县,768,0.26,14.71,3.52,81.51
B市,763,20.84,3.54,42.73,32.9
B县,750,25.73,26.4,22.93,24.93
A1镇,749,2.8,18.42,36.32,42.46
B市,747,20.35,8.43,52.88,18.34
A县,743,4.31,63.8,21.8,10.09
A1镇,741,8.91,47.91,17.68,25.51
B市,731,8.76,27.63,49.93,13.68
A1镇,710,14.65,27.18,28.73,29.44
B1镇,705,32.06,36.74,3.83,27.38
B市,705,48.23,46.52,0.28,4.96
A县,704,39.77,22.44,18.89,18.89
B市,684,7.6,30.56,19.44,42.4
A市,675,18.81,20.74,54.52,5.93
A市,675,37.19,9.04,25.33,28.44
B1镇,671,34.58,19.82,17.44,28.17
A市,664,25.15,57.98,6.17,10.69
B1镇,657,27.4,26.03,20.4,26.18
A县,654,27.06,11.31,33.03,28.59
B市,653,17.15,50.23,11.33,21.29
B市,649,44.38,6.93,43.3,5.39
B市,647,48.84,47.6,3.09,0.46
B1镇,645,19.69,27.75,30.08,22.48
A县,636,18.71,8.65,37.42,35.22
A1镇,631,22.5,26.47,35.18,15.85
B县,627,28.55,8.13,48.33,14.99
B县,626,64.86,9.9,20.45,4.79
A县,622,42.77,2.41,13.99,40.84
A1镇,617,23.99,38.41,14.59,23.01
B市,604,7.28,14.57,24.83,53.31
A市,603,51.24,0.83,4.98,42.95
B1镇,600,17.0,32.5,33.17,17.33
B1镇,598,29.93,10.7,12.54,46.82
B县,587,13.63,23.51,36.8,26.06
B县,587,20.44,22.49,2.73,54.34
B县,585,30.6,29.74,7.69,31.97
B县,582,42.61,8.42,15.12,33.85
B县,580,26.21,25.86,27.76,20.17
B1镇,577,33.45,59.45,7.11,0.0
B1镇,576,7.47,32.81,30.9,28.82
B1镇,572,9.44,26.4,32.87,31.29
