region_name,busi_date
B市,2024-07-01
A县,2024-07-02
A1镇,2024-07-03
B市,2024-07-04
B县,2024-07-04
A市,2024-07-05
B1镇,2024-07-05
A县,2024-07-06
A县,2024-07-09
B1镇,2024-07-09
A1镇,2024-07-10
B县,2024-07-11
A县,2024-07-12
B县,2024-07-13
B市,2024-07-14
A市,2024-07-15
B市,2024-07-16
A1镇,2024-07-17
A县,2024-07-18
B县,2024-07-18
A县,2024-07-20
A县,2024-07-22
B市,2024-07-23
A县,2024-07-23
A市,2024-07-24
A县,2024-07-24
A县,2024-07-25
B县,2024-07-25
A县,2024-07-26
B县,2024-07-26
A市,2024-07-27
B县,2024-07-27
B1镇,2024-07-27
B市,2024-07-28
A县,2024-07-28
B县,2024-07-29
A1镇,2024-07-29
B县,2024-07-30
B1镇,2024-07-30
A市,2024-07-31
A县,2024-07-31
B1镇,2024-07-31
