busi_time,reply_on_time_rate
2022-12-22,100.0
2022-12-14,100.0
2022-12-06,97.51
2022-12-09,91.08
2022-12-27,76.9
2022-12-24,72.34
2022-12-07,70.76
2022-12-05,68.23
2022-12-12,67.57
2022-12-16,67.07
2022-12-02,64.27
2022-12-04,60.49
2022-12-18,60.36
2022-12-10,44.63
2022-12-30,43.71
2022-12-28,42.91
2022-12-17,38.89
2022-12-26,37.37
2022-12-21,35.34
2022-12-11,31.58
2022-12-25,28.31
2022-12-15,27.27
2022-12-01,21.95
2022-12-08,16.67
2022-12-13,13.46
2022-12-31,10.27
2022-12-03,9.42
2022-12-19,7.55
2022-12-29,7.49
2022-12-23,3.14
2022-12-20,1.06
