region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
B1镇,998,27.25,20.34,23.65,28.76
B市,998,42.69,6.01,7.11,44.19
A县,995,39.1,52.46,6.03,2.41
A1镇,993,23.56,30.82,23.67,21.95
A县,991,12.21,31.18,21.8,34.81
A市,986,46.25,29.31,5.78,18.66
A市,981,25.28,30.07,36.9,7.75
B1镇,967,20.37,34.33,30.82,14.48
B市,965,24.35,16.37,41.76,17.51
B市,956,7.85,27.41,33.37,31.38
B市,954,12.79,31.45,27.04,28.72
A市,953,18.15,24.76,47.74,9.34
A1镇,951,14.41,53.52,8.41,23.66
A1镇,949,1.05,20.97,23.81,54.16
A县,949,35.62,9.91,28.13,26.34
B1镇,948,24.47,37.24,13.4,24.89
B1镇,940,3.51,39.26,35.53,21.7
A1镇,924,21.1,51.84,3.79,23.27
A1镇,920,17.72,48.7,25.87,7.72
B县,912,4.71,30.7,11.18,53.4
A市,903,15.17,35.77,12.07,36.99
A市,902,11.97,16.3,14.19,57.54
A1镇,898,43.21,18.93,7.91,29.96
B县,894,10.63,47.2,8.72,33.45
A1镇,883,28.31,29.56,41.45,0.68
A县,871,27.21,32.84,10.68,29.28
A1镇,869,34.41,5.06,19.68,40.85
B1镇,869,9.32,21.29,38.55,30.84
A市,869,23.59,32.57,25.2,18.64
A市,864,25.81,1.5,42.71,29.98
B1镇,848,18.99,38.21,41.75,1.06
A县,844,28.08,9.83,25.59,36.49
A县,836,16.15,34.69,33.61,15.55
A市,833,29.29,27.13,33.25,10.32
A市,830,31.08,34.58,21.93,12.41
B1镇,825,25.7,3.27,42.3,28.73
A1镇,822,42.09,19.46,11.8,26.64
A1镇,815,21.72,22.33,43.44,12.52
A市,814,14.5,13.27,31.2,41.03
B市,800,52.5,5.75,35.25,6.5
A县,799,42.05,25.16,27.66,5.13
B县,797,22.08,18.19,30.99,28.73
A市,794,29.6,20.28,18.01,32.12
A1镇,794,23.93,6.42,29.09,40.55
B市,788,33.38,43.4,2.66,20.56
B市,778,34.19,25.32,20.31,20.18
B市,774,7.49,39.66,33.98,18.86
A市,758,30.34,12.93,10.29,46.44
B市,753,14.74,12.48,34.66,38.11
B1镇,751,8.92,3.73,47.27,40.08
A1镇,744,31.72,27.15,8.06,33.06
A1镇,737,25.92,34.87,35.69,3.53
A市,736,41.17,14.27,41.3,3.26
B1镇,735,63.13,0.82,12.93,23.13
A县,725,46.07,11.03,32.69,10.21
B县,704,4.69,44.74,46.45,4.12
A市,700,11.29,44.29,24.71,19.71
B1镇,699,24.03,21.89,32.62,21.46
A县,692,1.88,7.8,79.19,11.13
B县,690,46.38,13.77,30.14,9.71
B县,690,9.42,15.07,26.96,48.55
A1镇,683,31.19,13.03,27.53,28.26
A市,679,10.01,7.07,35.64,47.28
A1镇,675,31.26,54.07,8.74,5.93
A县,667,28.64,10.79,33.43,27.14
B县,663,43.59,12.37,20.81,23.23
B1镇,661,41.6,13.92,36.31,8.17
A县,653,10.57,11.94,3.68,73.81
B市,646,14.4,37.77,23.99,23.84
A县,643,38.41,21.15,21.15,19.28
B1镇,642,34.74,9.19,38.79,17.29
B1镇,640,31.56,19.22,38.59,10.63
A市,636,27.67,10.38,41.19,20.75
B市,627,29.19,30.14,12.6,28.07
B市,622,26.53,33.76,30.71,9.0
A1镇,620,35.81,34.03,16.94,13.23
B1镇,614,7.82,28.99,25.08,38.11
B1镇,612,19.61,8.17,3.59,68.63
B县,603,12.44,34.49,28.69,24.38
A县,600,23.33,27.67,24.83,24.17
A县,600,1.0,34.33,31.5,33.17
B市,597,25.63,19.6,15.24,39.53
B1镇,596,22.65,3.52,40.27,33.56
B县,596,22.65,33.56,34.56,9.23
B县,596,9.56,37.75,12.25,40.44
B市,591,24.37,10.15,18.95,46.53
A县,590,13.05,44.24,26.27,16.44
B县,579,4.32,26.6,44.04,25.04
A1镇,577,51.82,0.35,43.33,4.51
B市,576,35.24,37.33,5.73,21.7
B县,570,6.67,40.18,13.86,39.3
A市,562,5.34,28.65,20.28,45.73
B县,557,29.26,21.18,13.82,35.73
B1镇,555,13.51,34.95,29.19,22.34
A1镇,552,43.66,14.67,37.86,3.8
B县,550,77.27,2.36,10.18,10.18
B市,550,8.73,1.45,46.73,43.09
A1镇,549,27.32,40.44,26.96,5.28
B市,548,8.21,0.73,85.77,5.29
A市,536,33.21,42.16,17.91,6.72
B1镇,524,12.79,33.78,34.35,19.08
A县,520,48.65,48.85,0.19,2.31
B市,513,26.71,34.7,33.33,5.26
A市,508,23.82,25.39,7.28,43.5
B县,506,72.53,4.74,5.93,16.8
A1镇,504,47.62,0.79,17.46,34.13
B1镇,497,22.74,31.59,9.05,36.62
A县,494,41.09,18.02,24.7,16.19
A市,489,5.32,42.74,9.82,42.13
A县,476,4.2,23.32,26.05,46.43
B1镇,470,27.23,8.51,14.04,50.21
B1镇,468,3.85,9.62,44.44,42.09
A县,461,29.28,29.93,24.08,16.7
B1镇,461,14.32,40.35,29.28,16.05
B1镇,458,51.53,13.97,14.85,19.65
B市,457,36.11,12.69,22.54,28.67
A1镇,449,34.97,12.25,30.73,22.05
B县,448,32.14,12.72,31.03,24.11
A县,445,2.47,79.55,2.02,15.96
A市,438,6.39,33.79,38.58,21.23
A市,427,20.37,28.81,46.84,3.98
B县,427,36.3,18.27,19.2,26.23
A市,426,21.6,35.92,3.76,38.73
B市,398,47.99,11.81,23.37,16.83
A县,395,27.85,2.53,35.19,34.43
B市,395,35.7,25.06,1.77,37.47
B1镇,385,29.35,8.05,30.91,31.69
A1镇,369,46.34,33.88,15.99,3.79
B县,359,55.99,12.53,6.41,25.07
B市,358,5.03,43.58,31.84,19.55
A1镇,345,29.28,29.86,7.54,33.33
B市,341,13.49,6.74,15.25,64.52
B县,341,32.55,0.88,35.78,30.79
A县,335,19.7,4.48,33.73,42.09
A县,331,25.68,29.91,19.94,24.47
B1镇,328,26.22,15.55,8.54,49.7
B县,326,30.37,9.82,31.29,28.53
B县,325,2.15,42.15,37.54,18.15
B1镇,322,7.45,30.43,29.5,32.61
B县,311,35.37,34.08,9.32,21.22
A1镇,309,9.71,11.0,43.04,36.25
B市,305,24.26,27.21,15.41,33.11
A县,301,54.49,28.9,1.99,14.62
B1镇,290,8.62,16.9,48.28,26.21
A1镇,288,32.29,59.03,3.47,5.21
A市,288,7.99,9.72,35.42,46.88
B县,279,42.65,2.15,47.67,7.53
B市,277,39.35,3.97,26.71,29.96
A市,276,44.93,25.0,18.48,11.59
B市,269,29.0,21.93,24.16,24.91
B县,268,30.97,32.09,28.36,8.58
B1镇,266,13.16,39.1,34.96,12.78
B县,265,48.68,10.57,27.92,12.83
A县,244,6.97,76.23,5.74,11.07
A1镇,233,33.91,36.05,7.3,22.75
A1镇,233,23.61,25.75,28.76,21.89
A1镇,230,10.0,26.52,24.35,39.13
A县,230,6.09,24.35,36.09,33.48
B县,221,4.07,31.67,25.79,38.46
B县,218,23.85,25.69,29.82,20.64
B市,212,16.98,33.49,24.06,25.47
A市,211,31.75,22.75,37.91,7.58
B县,207,48.79,34.78,9.66,6.76
B市,206,30.58,26.21,33.5,9.71
B县,204,48.53,43.14,6.37,1.96
A市,190,27.37,22.11,36.84,13.68
A市,185,15.14,62.7,11.89,10.27
B1镇,179,84.92,7.26,5.03,2.79
A市,177,19.77,25.99,15.25,38.98
A县,176,41.48,9.66,10.23,38.64
A县,169,21.89,14.2,34.32,29.59
A县,166,9.64,30.72,36.14,23.49
A市,147,27.89,15.65,11.56,44.9
B1镇,143,12.59,8.39,43.36,35.66
B1镇,143,71.33,19.58,4.9,4.2
B市,141,22.7,15.6,50.35,11.35
B市,139,17.27,54.68,2.88,25.18
A县,133,22.56,54.14,1.5,21.8
A县,124,39.52,3.23,55.65,1.61
B市,123,39.02,4.88,16.26,39.84
A1镇,122,30.33,7.38,39.34,22.95
A市,118,41.53,24.58,17.8,16.1
A1镇,115,41.74,3.48,26.09,28.7
B县,109,8.26,37.61,47.71,6.42
B县,108,33.33,45.37,1.85,19.44
A1镇,103,56.31,11.65,14.56,17.48
