region_name,busi_date
A市,2023-04-01
A县,2023-04-02
B市,2023-04-03
A市,2023-04-05
B县,2023-04-05
A1镇,2023-04-06
A市,2023-04-07
B县,2023-04-07
B1镇,2023-04-07
A市,2023-04-08
B市,2023-04-08
B1镇,2023-04-08
A1镇,2023-04-09
B县,2023-04-10
A市,2023-04-11
A县,2023-04-12
A1镇,2023-04-12
A市,2023-04-13
A县,2023-04-13
B1镇,2023-04-14
A市,2023-04-15
A县,2023-04-16
B市,2023-04-17
B县,2023-04-17
A市,2023-04-19
B县,2023-04-19
A市,2023-04-21
A1镇,2023-04-21
B县,2023-04-22
A县,2023-04-24
B县,2023-04-24
A1镇,2023-04-24
B县,2023-04-25
A市,2023-04-26
A县,2023-04-26
B1镇,2023-04-26
A市,2023-04-27
B市,2023-04-29
A1镇,2023-04-29
A市,2023-04-30
B县,2023-04-30
