busi_time,reply_on_time_rate
2022-07-23,96.32
2022-07-02,96.09
2022-07-05,91.23
2022-07-19,90.2
2022-07-07,87.3
2022-07-16,86.43
2022-07-08,83.33
2022-07-06,83.19
2022-07-15,81.4
2022-07-09,78.87
2022-07-14,76.8
2022-07-28,69.16
2022-07-24,65.17
2022-07-25,58.73
2022-07-12,44.75
2022-07-20,37.13
2022-07-04,34.29
2022-07-21,32.25
2022-07-10,28.33
2022-07-29,25.73
2022-07-30,22.36
2022-07-22,20.93
2022-07-18,19.23
2022-07-17,16.54
2022-07-31,15.94
2022-07-26,15.93
2022-07-13,15.74
2022-07-01,15.67
2022-07-11,11.67
2022-07-03,5.56
2022-07-27,3.61
