region_name,current_date,previous_orders,current_orders,growth_rate
A市,2024-06-28,128,748,484.38
B市,2024-06-29,193,991,413.47
B市,2024-06-18,195,908,365.64
A市,2024-06-10,190,855,350.0
A市,2024-06-26,221,959,333.94
A市,2024-06-15,196,832,324.49
A市,2024-06-23,145,544,275.17
A市,2024-06-02,180,648,260.0
B市,2024-06-11,138,439,218.12
B市,2024-06-25,266,776,191.73
B市,2024-06-04,270,736,172.59
A市,2024-06-13,308,765,148.38
B市,2024-06-09,365,752,106.03
B市,2024-06-03,145,270,86.21
B市,2024-06-08,200,365,82.5
A市,2024-06-05,530,962,81.51
A市,2024-06-08,476,864,81.51
A市,2024-06-18,544,895,64.52
B市,2024-06-13,431,617,43.16
B市,2024-06-22,640,898,40.31
B市,2024-06-21,471,640,35.88
B市,2024-06-15,673,902,34.03
B市,2024-06-07,159,200,25.79
B市,2024-06-26,776,970,25.0
B市,2024-06-24,213,266,24.88
A市,2024-06-24,544,653,20.04
