busi_date,dept_name,rollback_rate
2024-06-01,档案管理部,20.0
2024-06-02,异常工单组,19.38
2024-06-03,热线复核中心,18.58
2024-06-04,结案一部,20.0
2024-06-05,客户回访一组,18.4
2024-06-06,结案二部,19.9
2024-06-07,热线复核中心,19.05
2024-06-08,热线复核中心,19.84
2024-06-09,承办单位B,19.56
2024-06-10,客户回访一组,19.4
2024-06-11,热线复核中心,17.55
2024-06-12,承办复核部A,18.0
2024-06-13,业务一科,19.32
2024-06-14,热线审核中心,16.32
2024-06-15,承办单位A,17.11
2024-06-16,客户回访三组,17.82
2024-06-17,承办复核部A,18.42
2024-06-18,承办单位B,19.57
2024-06-19,结案一部,19.42
2024-06-20,客户回访三组,20.0
2024-06-21,客服二部,14.29
2024-06-22,档案管理部,18.12
2024-06-23,档案管理部,18.69
2024-06-24,热线审核中心,19.19
2024-06-25,业务二科,17.53
2024-06-26,承办单位B,17.97
2024-06-27,客服二部,19.35
2024-06-28,热线复核中心,18.18
2024-06-29,业务二科,18.93
2024-06-30,客户回访一组,19.42
