region_name,busi_date
B县,2023-05-01
A县,2023-05-03
B县,2023-05-03
A市,2023-05-04
A1镇,2023-05-04
A市,2023-05-05
B县,2023-05-05
A县,2023-05-06
B1镇,2023-05-06
B县,2023-05-07
A市,2023-05-09
A县,2023-05-09
B县,2023-05-09
A市,2023-05-10
B市,2023-05-10
A县,2023-05-11
B市,2023-05-12
B1镇,2023-05-12
A市,2023-05-13
B市,2023-05-13
B县,2023-05-13
A市,2023-05-14
B市,2023-05-14
B市,2023-05-17
B县,2023-05-17
A县,2023-05-18
A1镇,2023-05-18
A市,2023-05-19
A1镇,2023-05-20
A市,2023-05-22
A1镇,2023-05-22
B市,2023-05-23
B县,2023-05-23
A市,2023-05-24
A县,2023-05-24
B1镇,2023-05-25
B市,2023-05-26
B县,2023-05-26
B1镇,2023-05-26
B市,2023-05-27
B1镇,2023-05-27
A县,2023-05-28
A1镇,2023-05-28
A1镇,2023-05-30
A市,2023-05-31
B县,2023-05-31
