region_name,busi_date
B市,2022-11-01
B县,2022-11-01
B1镇,2022-11-01
A市,2022-11-02
B县,2022-11-02
B县,2022-11-04
A市,2022-11-05
A1镇,2022-11-05
A市,2022-11-06
B市,2022-11-06
A县,2022-11-06
A市,2022-11-07
B市,2022-11-07
B县,2022-11-09
A1镇,2022-11-10
B市,2022-11-11
A县,2022-11-11
A1镇,2022-11-11
B1镇,2022-11-11
B县,2022-11-13
A1镇,2022-11-13
A1镇,2022-11-14
B1镇,2022-11-14
A市,2022-11-15
B1镇,2022-11-15
A1镇,2022-11-16
B1镇,2022-11-16
A县,2022-11-21
A县,2022-11-22
B县,2022-11-22
A市,2022-11-24
B市,2022-11-24
B1镇,2022-11-24
B县,2022-11-25
A市,2022-11-26
B1镇,2022-11-26
B县,2022-11-28
A1镇,2022-11-29
B1镇,2022-11-29
A1镇,2022-11-30
