busi_time,reply_on_time_rate
2024-05-31,98.52
2024-05-05,96.02
2024-05-23,93.77
2024-05-13,91.36
2024-05-30,82.88
2024-05-15,79.58
2024-05-14,79.14
2024-05-08,73.86
2024-05-11,72.12
2024-05-09,70.5
2024-05-18,68.02
2024-05-10,66.67
2024-05-21,66.16
2024-05-24,65.89
2024-05-06,62.35
2024-05-17,60.38
2024-05-12,55.91
2024-05-01,50.1
2024-05-29,46.46
2024-05-28,45.07
2024-05-07,35.33
2024-05-22,31.63
2024-05-27,30.43
2024-05-19,25.55
2024-05-25,25.44
2024-05-03,17.15
2024-05-16,14.84
2024-05-20,10.27
2024-05-04,9.7
2024-05-02,5.26
2024-05-26,1.34
