日期,处理阶段,逾期量,严重逾期率
2023-04-02,已回访,92,41.24
2023-04-02,审核中,80,26.16
2023-04-02,受理中,56,19.69
2023-04-03,已回访,58,19.53
2023-04-04,待归档,73,32.6
2023-04-06,审核中,78,38.59
2023-04-08,已回访,58,19.51
2023-04-10,受理中,75,39.75
2023-04-10,待归档,52,20.0
2023-04-13,审核中,60,36.73
2023-04-16,已回访,71,22.65
2023-04-18,受理中,67,27.87
2023-04-20,办理中,77,30.81
2023-04-21,待归档,53,29.8
2023-04-21,已回访,65,18.24
2023-04-22,办理中,86,41.48
2023-04-22,待归档,78,24.1
2023-04-24,审核中,82,21.18
2023-04-25,已回访,58,28.49
2023-04-27,已回访,59,14.08
2023-04-29,办理中,59,17.74
2023-04-29,已回访,66,16.67
