日期,处理阶段,逾期量,严重逾期率
2025-02-02,受理中,97,24.24
2025-02-03,办理中,65,32.05
2025-02-04,受理中,70,20.56
2025-02-05,待归档,54,22.76
2025-02-07,已回访,67,17.79
2025-02-09,受理中,67,37.41
2025-02-09,已回访,66,29.59
2025-02-11,办理中,67,42.03
2025-02-11,待归档,56,26.63
2025-02-12,办理中,59,20.53
2025-02-12,审核中,51,18.47
2025-02-16,受理中,81,39.39
2025-02-16,审核中,64,30.32
2025-02-16,已回访,58,17.55
2025-02-19,待归档,82,31.58
2025-02-19,审核中,53,23.73
2025-02-20,已回访,59,18.28
2025-02-21,受理中,82,28.74
2025-02-21,办理中,65,24.32
2025-02-22,已回访,52,21.5
2025-02-23,受理中,58,32.8
2025-02-24,受理中,68,27.33
2025-02-25,受理中,64,40.0
