日期,处理阶段,逾期量,严重逾期率
2022-12-01,审核中,64,32.6
2022-12-01,已回访,85,28.72
2022-12-01,待归档,54,20.97
2022-12-02,办理中,55,30.23
2022-12-02,受理中,69,16.38
2022-12-03,审核中,58,45.53
2022-12-04,办理中,72,29.45
2022-12-04,审核中,58,29.41
2022-12-04,已回访,53,25.93
2022-12-04,待归档,71,23.03
2022-12-05,已回访,60,31.13
2022-12-05,审核中,63,29.93
2022-12-06,已回访,56,25.98
2022-12-08,待归档,52,25.74
2022-12-09,已回访,71,15.13
2022-12-14,已回访,57,27.51
2022-12-14,审核中,69,27.06
2022-12-15,已回访,57,18.12
2022-12-16,受理中,54,26.51
2022-12-16,已回访,53,24.71
2022-12-17,已回访,63,24.87
2022-12-17,办理中,59,22.29
2022-12-19,已回访,67,27.56
2022-12-19,待归档,67,14.46
2022-12-20,审核中,77,38.32
2022-12-27,待归档,67,22.58
2022-12-29,待归档,62,23.28
2022-12-29,受理中,62,15.24
2022-12-31,已回访,56,17.14
