region_name,busi_date
A县,2023-01-01
A1镇,2023-01-01
B市,2023-01-02
B市,2023-01-03
A市,2023-01-04
B1镇,2023-01-04
A1镇,2023-01-05
A县,2023-01-06
B市,2023-01-09
B县,2023-01-09
B市,2023-01-10
B县,2023-01-10
A1镇,2023-01-11
A县,2023-01-13
A1镇,2023-01-15
A县,2023-01-16
B县,2023-01-18
A市,2023-01-19
A1镇,2023-01-19
B市,2023-01-20
A县,2023-01-21
B县,2023-01-22
B1镇,2023-01-22
A县,2023-01-23
B县,2023-01-24
A市,2023-01-25
A市,2023-01-27
B县,2023-01-27
B1镇,2023-01-28
B1镇,2023-01-29
B市,2023-01-30
A市,2023-01-31
