region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
A1镇,993,15.71,30.11,28.9,25.28
A县,984,28.56,21.34,39.02,11.08
A市,977,25.9,24.97,15.97,33.16
A1镇,975,30.15,29.54,14.77,25.54
A县,967,17.68,25.96,33.09,23.27
A县,962,29.94,18.3,26.82,24.95
A1镇,959,2.4,27.11,5.42,65.07
A市,957,5.22,32.81,28.94,33.02
B市,957,38.35,2.82,29.05,29.78
A市,947,17.74,40.34,14.99,26.93
B1镇,940,16.91,37.13,5.43,40.53
A县,928,29.31,24.89,29.96,15.84
B县,921,18.46,15.09,54.18,12.27
A1镇,920,18.59,0.54,39.78,41.09
A1镇,920,1.63,7.28,51.3,39.78
A1镇,909,1.43,22.33,54.24,22.0
A1镇,904,58.52,9.07,29.2,3.21
B1镇,897,28.43,25.31,18.06,28.21
B县,897,28.65,27.42,19.18,24.75
B县,895,22.01,31.96,24.13,21.9
B1镇,891,25.7,26.15,18.29,29.85
B1镇,890,45.62,23.26,14.94,16.18
A县,887,15.9,0.79,19.73,63.59
B市,881,27.47,33.94,14.76,23.84
A1镇,875,45.03,5.94,29.03,20.0
A市,873,44.1,32.19,7.9,15.81
B县,872,29.82,23.51,45.41,1.26
B县,859,45.29,22.82,19.67,12.22
B市,859,47.5,6.4,39.7,6.4
A县,857,21.47,41.77,22.29,14.47
B1镇,857,3.5,43.99,6.18,46.32
A县,840,7.86,5.83,48.21,38.1
B市,838,15.04,30.43,25.89,28.64
A县,832,23.44,19.35,28.85,28.37
A市,825,29.7,34.91,5.33,30.06
B市,820,32.07,37.07,10.49,20.37
B县,816,8.7,13.73,35.17,42.4
B1镇,807,29.99,23.67,22.3,24.04
A1镇,795,1.51,20.88,47.42,30.19
B市,787,12.58,40.15,7.37,39.9
B1镇,783,19.41,32.18,40.36,8.05
A市,781,19.72,36.11,35.21,8.96
B1镇,772,34.2,31.74,11.01,23.06
A市,772,19.17,39.51,9.33,31.99
A市,770,4.03,29.09,30.52,36.36
B县,764,53.14,7.33,5.89,33.64
B县,761,32.46,36.79,5.26,25.49
A1镇,761,15.51,24.31,42.05,18.13
A1镇,750,24.27,21.2,13.33,41.2
B县,743,11.71,9.02,54.24,25.03
A县,732,35.25,36.89,10.25,17.62
B市,732,40.3,13.39,3.69,42.62
A县,727,14.86,36.31,20.08,28.75
B县,726,35.67,13.22,41.32,9.78
B县,724,3.45,13.95,34.53,48.07
A市,714,4.06,18.49,53.78,23.67
B1镇,708,45.62,10.88,37.71,5.79
A市,707,31.97,36.78,29.56,1.7
B县,701,18.26,60.49,18.97,2.28
A1镇,701,35.38,42.37,17.55,4.71
B县,697,21.38,25.68,23.53,29.41
A市,697,31.28,20.8,32.71,15.21
B1镇,694,35.88,3.89,20.32,39.91
A1镇,694,10.81,31.12,17.58,40.49
A1镇,685,15.18,11.97,24.38,48.47
B1镇,683,21.52,11.71,34.85,31.92
A县,677,17.73,45.05,20.83,16.4
B1镇,672,37.35,9.23,31.4,22.02
A1镇,660,32.42,29.85,18.79,18.94
A市,659,33.08,42.03,2.12,22.76
B1镇,655,7.02,42.14,34.81,16.03
A市,653,83.61,10.11,5.67,0.61
A市,650,7.38,46.0,42.31,4.31
A1镇,650,20.77,43.38,1.85,34.0
A市,645,35.04,39.38,12.25,13.33
A市,643,36.86,12.6,7.78,42.77
A县,642,31.78,30.69,25.7,11.84
B1镇,634,29.18,19.72,27.13,23.97
A县,634,42.43,31.7,5.05,20.82
A县,630,32.86,39.37,26.67,1.11
B市,628,21.82,56.05,10.83,11.31
A县,626,33.23,10.86,18.69,37.22
A县,617,43.76,43.44,9.24,3.57
A市,609,34.48,38.59,2.63,24.3
B1镇,607,38.88,12.69,45.96,2.47
B县,603,0.0,18.91,31.34,49.75
B1镇,593,21.08,17.2,34.57,27.15
A县,593,22.09,43.51,32.38,2.02
A1镇,584,9.25,11.47,33.39,45.89
B1镇,574,23.17,5.92,29.62,41.29
B1镇,564,67.38,2.66,4.08,25.89
B1镇,563,44.05,4.97,27.35,23.62
B市,560,4.64,20.0,19.11,56.25
A县,556,27.16,25.72,28.78,18.35
B1镇,554,33.21,22.74,5.05,38.99
B市,553,11.39,29.29,48.28,11.03
B1镇,549,26.41,42.99,15.48,15.12
B市,544,21.14,36.21,11.95,30.7
