region_name,current_date,previous_orders,current_orders,growth_rate
B市,2025-07-20,108,788,629.63
B市,2025-07-09,152,713,369.08
B市,2025-07-27,149,686,360.4
A市,2025-07-17,184,785,326.63
B市,2025-07-17,122,518,324.59
B市,2025-07-15,167,681,307.78
A市,2025-07-06,252,850,237.3
B市,2025-07-13,279,868,211.11
B市,2025-07-23,197,440,123.35
B市,2025-07-06,199,431,116.58
B市,2025-07-24,440,922,109.55
A市,2025-07-26,473,905,91.33
B市,2025-07-02,165,313,89.7
A市,2025-07-03,377,670,77.72
A市,2025-07-13,512,827,61.52
B市,2025-07-07,431,656,52.2
A市,2025-07-02,254,377,48.43
B市,2025-07-05,152,199,30.92
A市,2025-07-19,616,777,26.14
B市,2025-07-28,686,858,25.07
A市,2025-07-08,585,718,22.74
