region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
A市,998,8.22,15.53,45.29,30.96
A1镇,995,1.91,7.64,78.49,11.96
B县,994,27.97,55.33,4.23,12.47
B1镇,992,51.61,18.85,11.79,17.74
A县,988,9.31,21.05,30.26,39.37
B县,987,15.6,13.58,52.28,18.54
B县,987,6.38,33.84,33.13,26.65
B市,985,18.27,30.56,18.27,32.89
B市,985,57.26,19.9,5.89,16.95
A市,979,2.15,65.99,4.8,27.07
B县,972,10.08,48.97,7.72,33.23
B市,961,23.1,8.95,41.21,26.74
A1镇,961,8.95,37.98,14.98,38.09
A市,960,30.52,31.98,34.38,3.13
B1镇,959,38.69,33.26,7.3,20.75
B县,957,0.31,43.36,39.92,16.41
B市,957,38.04,6.58,19.96,35.42
A1镇,944,21.4,18.86,22.56,37.18
A县,942,9.24,31.21,24.84,34.71
A1镇,933,38.37,36.33,10.72,14.58
A1镇,932,33.48,13.09,30.79,22.64
A市,930,35.81,44.84,15.16,4.19
A1镇,926,33.37,23.0,28.08,15.55
B县,924,31.06,16.23,19.81,32.9
A1镇,919,27.86,30.03,16.76,25.35
A1镇,911,29.86,42.59,24.04,3.51
B县,906,5.08,17.22,53.97,23.73
B1镇,905,29.17,11.05,19.56,40.22
B市,903,25.8,1.22,46.95,26.02
B县,901,18.87,28.63,30.85,21.64
B县,898,16.04,21.38,31.74,30.85
A1镇,891,1.12,12.68,70.15,16.05
A县,890,23.03,45.06,25.51,6.4
B市,890,23.15,40.11,14.27,22.47
A市,890,48.31,6.63,26.85,18.2
A县,873,4.35,7.33,72.39,15.92
A1镇,862,16.59,33.41,36.54,13.46
A县,859,22.82,18.86,46.92,11.41
B县,854,19.32,28.69,26.35,25.64
A1镇,851,42.89,3.17,31.61,22.33
B市,847,4.96,25.5,9.68,59.86
B市,844,14.45,29.5,24.88,31.16
B县,842,43.35,9.26,5.7,41.69
A市,838,48.93,25.66,25.18,0.24
B县,835,14.97,47.07,16.89,21.08
B1镇,830,33.37,18.92,32.65,15.06
B市,828,4.83,18.0,52.66,24.52
A市,827,34.58,28.54,14.63,22.25
A县,826,21.31,4.0,22.76,51.94
A县,824,38.96,43.08,17.48,0.49
A市,819,37.97,19.29,17.95,24.79
B县,815,14.85,21.96,17.55,45.64
B1镇,815,28.71,37.3,30.18,3.8
A1镇,814,9.09,31.33,33.66,25.92
B1镇,808,42.08,38.86,10.4,8.66
A1镇,803,51.56,11.08,19.8,17.56
A县,799,15.52,21.4,37.05,26.03
B1镇,796,39.45,26.38,1.88,32.29
B1镇,796,31.53,20.1,45.98,2.39
B县,782,41.56,49.36,2.43,6.65
A市,776,26.93,28.09,20.62,24.36
B1镇,771,33.2,5.06,32.81,28.92
A市,760,31.97,39.21,11.32,17.5
B1镇,760,40.53,12.11,36.45,10.92
A市,757,49.54,19.68,1.45,29.33
A市,736,13.86,16.71,62.23,7.2
B市,732,16.67,18.03,56.97,8.33
B县,726,33.61,35.26,13.09,18.04
B市,719,30.04,3.76,40.06,26.15
B1镇,714,30.95,15.41,1.96,51.68
A1镇,712,22.47,36.66,39.89,0.98
A市,701,36.09,25.68,7.85,30.39
A县,701,40.09,16.26,24.68,18.97
B1镇,700,41.14,15.71,39.0,4.14
A1镇,687,19.65,37.12,17.76,25.47
B市,669,29.0,16.14,24.36,30.49
A1镇,667,9.3,20.39,40.33,29.99
B县,662,19.94,24.02,13.75,42.3
B市,657,39.73,39.12,15.68,5.48
A市,657,26.03,23.29,31.2,19.48
A市,655,3.21,22.75,65.19,8.85
B1镇,652,31.29,25.61,13.65,29.45
A1镇,650,16.15,30.0,23.54,30.31
B县,649,33.13,31.43,34.98,0.46
A1镇,648,43.98,19.14,29.01,7.87
B县,645,33.49,2.48,37.05,26.98
A1镇,637,38.46,3.3,12.72,45.53
B市,629,43.72,33.23,21.14,1.91
B1镇,627,6.7,21.85,38.6,32.85
A市,626,13.58,42.65,32.27,11.5
B县,625,24.48,39.2,2.4,33.92
A县,618,33.82,35.6,19.26,11.33
A1镇,612,33.5,7.03,45.42,14.05
A1镇,607,26.19,11.86,59.14,2.8
B1镇,603,14.1,49.92,15.59,20.4
A县,598,38.63,19.57,15.38,26.42
A县,593,38.95,1.18,43.84,16.02
A1镇,593,26.98,24.62,32.21,16.19
B1镇,591,35.87,45.18,11.34,7.61
B县,586,25.09,24.23,26.62,24.06
A市,583,28.13,20.58,18.01,33.28
A县,577,39.51,19.41,16.81,24.26
B市,568,43.84,22.01,4.93,29.23
A县,565,24.25,30.62,30.97,14.16
B1镇,553,17.36,45.93,4.7,32.01
A市,534,43.07,32.21,3.93,20.79
B县,532,37.78,3.2,30.08,28.95
B市,527,22.77,22.01,8.54,46.68
B县,523,1.34,9.94,60.42,28.3
A市,520,23.46,47.31,7.12,22.12
B1镇,513,13.26,39.57,37.62,9.55
A1镇,505,39.01,30.89,5.54,24.55
B1镇,489,3.07,43.15,7.36,46.42
A市,487,11.5,32.85,43.33,12.32
A县,481,39.5,13.1,39.29,8.11
