region_name,busi_date
B市,2023-09-03
A县,2023-09-03
A1镇,2023-09-03
B市,2023-09-04
A1镇,2023-09-04
B1镇,2023-09-05
A1镇,2023-09-07
B1镇,2023-09-07
A县,2023-09-08
B市,2023-09-09
A市,2023-09-11
B市,2023-09-11
A1镇,2023-09-14
B1镇,2023-09-14
B1镇,2023-09-15
A市,2023-09-16
A县,2023-09-16
A1镇,2023-09-16
B县,2023-09-17
A1镇,2023-09-17
A市,2023-09-19
A1镇,2023-09-20
A县,2023-09-22
A1镇,2023-09-22
B县,2023-09-23
A县,2023-09-24
B县,2023-09-24
B1镇,2023-09-25
B市,2023-09-27
A市,2023-09-28
B1镇,2023-09-28
A市,2023-09-29
A县,2023-09-30
B1镇,2023-09-30
