region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
B县,999,35.84,24.52,8.71,30.93
A县,997,13.64,50.35,5.92,30.09
A1镇,996,38.55,13.05,32.43,15.96
B县,996,30.92,25.2,30.32,13.55
A1镇,994,1.31,47.59,36.62,14.49
B市,991,29.97,9.38,32.19,28.46
A1镇,986,11.56,36.71,27.69,24.04
B1镇,983,35.2,38.35,2.24,24.21
B1镇,974,26.39,19.61,5.13,48.87
A1镇,971,30.28,18.33,29.66,21.73
B市,970,24.54,22.27,35.36,17.84
A市,962,43.14,12.99,0.1,43.76
A市,959,40.04,17.0,41.61,1.36
B1镇,958,1.77,14.41,28.6,55.22
B县,955,17.59,35.81,19.16,27.43
B县,944,17.69,5.08,15.36,61.86
A县,941,24.76,45.27,24.65,5.31
A市,933,59.38,11.15,3.54,25.94
B县,922,34.38,12.26,31.78,21.58
A市,914,26.48,3.83,47.48,22.21
B市,908,39.54,15.2,35.24,10.02
B1镇,905,6.85,7.18,33.59,52.38
B市,902,42.35,12.42,14.52,30.71
B市,898,31.74,63.03,1.67,3.56
A县,895,30.39,28.83,16.76,24.02
A市,895,24.92,25.59,17.43,32.07
A1镇,894,23.71,29.31,21.92,25.06
B县,894,37.92,3.36,18.79,39.93
A1镇,891,26.6,12.68,16.27,44.44
A县,889,32.06,26.77,5.96,35.21
A县,886,8.47,23.02,59.03,9.48
B县,885,15.03,22.15,38.87,23.95
B1镇,867,36.68,16.26,29.07,17.99
A市,864,17.59,17.36,32.87,32.18
B1镇,860,47.09,16.98,18.84,17.09
A市,855,11.11,4.09,30.88,53.92
B1镇,850,32.59,23.65,34.82,8.94
A1镇,849,22.38,33.1,35.34,9.19
B1镇,845,6.39,56.33,5.92,31.36
A县,841,24.49,11.65,22.35,41.5
A市,832,35.1,30.29,31.37,3.25
B县,831,38.63,2.65,45.73,13.0
B1镇,819,25.27,14.29,29.06,31.38
A县,817,14.81,37.94,28.4,18.85
B县,796,36.06,23.62,0.63,39.7
A县,789,35.36,5.7,34.22,24.71
B1镇,778,5.78,18.12,32.9,43.19
A1镇,777,42.34,14.16,26.64,16.86
B市,776,3.61,19.33,26.03,51.03
B县,773,25.74,11.51,32.21,30.53
A市,765,39.61,15.42,39.22,5.75
A县,756,16.53,30.69,27.12,25.66
B市,752,28.86,27.26,21.68,22.21
B市,752,33.91,13.96,23.54,28.59
B县,751,11.85,33.69,17.98,36.48
A市,748,3.74,48.93,21.26,26.07
B县,746,29.36,38.47,10.46,21.72
B市,736,2.58,51.77,7.07,38.59
B县,733,2.32,57.3,20.33,20.05
B1镇,729,32.37,9.19,56.38,2.06
A县,717,5.16,29.57,44.91,20.36
B县,714,12.89,50.7,10.36,26.05
A县,714,33.47,23.39,25.21,17.93
B1镇,711,33.33,41.91,8.02,16.74
A县,708,38.56,4.1,40.82,16.53
A市,702,0.85,28.35,33.62,37.18
A1镇,689,6.24,34.11,34.25,25.4
B市,673,15.45,1.93,40.56,42.05
B1镇,668,33.23,12.72,22.16,31.89
B县,655,12.21,28.4,52.06,7.33
A市,653,27.11,16.85,50.08,5.97
A市,648,33.64,18.98,32.25,15.12
B市,640,21.41,55.94,8.44,14.22
B县,634,10.25,55.68,24.76,9.31
B1镇,627,17.38,49.44,20.57,12.6
B市,617,24.15,6.97,22.69,46.19
B县,612,32.52,1.14,47.06,19.28
B1镇,609,29.56,16.91,7.06,46.47
A1镇,602,13.46,12.62,34.72,39.2
A1镇,601,24.96,46.92,24.13,3.99
B市,594,7.24,31.14,33.84,27.78
A县,577,34.49,0.35,33.8,31.37
B1镇,570,24.56,12.11,32.11,31.23
A1镇,569,2.28,29.17,32.16,36.38
A市,565,49.56,23.01,15.58,11.86
A市,544,36.03,40.44,22.61,0.92
A市,544,17.46,32.35,37.87,12.32
B1镇,534,34.83,12.92,15.17,37.08
A市,530,18.87,33.4,9.06,38.68
A市,523,13.19,66.92,10.52,9.37
A县,518,37.26,16.99,23.55,22.2
A1镇,515,19.61,10.1,19.42,50.87
B县,493,29.01,27.18,19.47,24.34
A市,476,2.73,7.56,49.79,39.92
B1镇,476,27.52,20.59,23.53,28.36
B市,471,15.71,34.82,35.24,14.23
B县,466,6.22,15.67,44.42,33.69
B1镇,456,8.55,33.11,57.46,0.88
A县,453,23.4,27.37,27.37,21.85
B县,442,34.39,14.71,38.01,12.9
A县,442,11.76,39.59,8.37,40.27
B市,439,34.4,32.8,12.07,20.73
B市,431,47.56,20.19,18.56,13.69
B县,430,30.47,20.0,31.4,18.14
A市,429,33.33,21.68,15.38,29.6
B1镇,422,45.5,37.2,3.08,14.22
A县,412,17.72,39.81,21.6,20.87
A县,408,33.82,42.65,2.21,21.32
B市,399,13.03,3.26,52.88,30.83
A县,397,39.55,12.34,28.72,19.4
A县,386,4.15,17.88,45.85,32.12
A1镇,385,9.61,28.83,38.7,22.86
B县,384,48.96,4.17,12.5,34.38
B县,379,35.62,8.44,28.23,27.7
A1镇,377,38.46,38.73,2.39,20.42
B1镇,368,38.59,34.78,4.89,21.74
B县,366,12.02,41.26,23.5,23.22
B市,365,34.25,9.04,26.3,30.41
B市,360,15.56,41.11,20.0,23.33
A1镇,345,15.94,22.32,22.9,38.84
A1镇,344,6.1,23.55,41.86,28.49
B县,344,27.91,36.05,4.65,31.4
B1镇,342,27.78,30.99,26.02,15.2
A县,326,28.22,43.87,4.6,23.31
B1镇,321,36.45,7.48,29.28,26.79
A县,314,30.25,10.19,23.25,36.31
A县,311,2.57,1.61,32.15,63.67
A县,309,20.71,35.92,11.33,32.04
A市,308,31.17,11.36,24.03,33.44
B市,306,29.08,16.99,30.72,23.2
B县,292,17.12,3.77,18.84,60.27
A市,291,20.62,0.0,16.84,62.54
A1镇,287,49.48,38.68,9.06,2.79
A1镇,277,11.55,73.65,3.97,10.83
B市,270,32.22,43.7,4.07,20.0
B市,266,0.38,33.46,42.48,23.68
A1镇,257,33.07,28.02,21.79,17.12
A1镇,253,2.77,22.53,50.2,24.51
A1镇,248,27.02,30.24,9.27,33.47
B县,247,7.69,45.75,18.62,27.94
A1镇,245,21.63,7.35,35.51,35.51
B市,240,28.33,20.83,20.83,30.0
A市,231,10.82,33.33,18.61,37.23
A县,221,32.58,11.31,12.67,43.44
A1镇,221,19.91,31.22,30.77,18.1
A市,221,24.89,10.86,22.62,41.63
B市,213,24.41,39.44,2.82,33.33
A市,212,17.92,11.79,35.85,34.43
B1镇,211,29.86,23.22,24.64,22.27
A1镇,205,29.76,16.59,20.0,33.66
A县,202,22.77,13.86,28.71,34.65
B市,200,52.0,17.5,19.5,11.0
A市,196,25.51,12.24,33.67,28.57
B市,195,1.54,19.49,37.44,41.54
A1镇,195,4.1,24.62,50.26,21.03
B市,193,7.25,40.93,42.49,9.33
B1镇,190,63.68,4.74,0.53,31.05
A市,190,48.95,43.16,1.58,6.32
A县,188,0.0,26.06,45.21,28.72
B1镇,184,30.43,0.54,9.78,59.24
B1镇,181,12.15,11.05,13.81,62.98
A市,180,32.22,38.33,13.33,16.11
A县,179,50.84,3.91,34.64,10.61
B县,169,37.28,17.75,42.01,2.96
A1镇,167,15.57,21.56,31.14,31.74
B市,159,44.03,1.89,9.43,44.65
B县,151,10.6,14.57,39.74,35.1
B市,145,35.86,25.52,23.45,15.17
A市,145,23.45,15.86,25.52,35.17
B1镇,144,38.19,3.47,25.69,32.64
B市,138,5.07,51.45,23.19,20.29
B1镇,130,40.77,4.62,20.77,33.85
A市,128,49.22,8.59,41.41,0.78
A1镇,121,23.14,25.62,33.06,18.18
A县,120,30.83,23.33,24.17,21.67
B县,120,20.0,5.83,30.83,43.33
A1镇,119,20.17,36.97,32.77,10.08
A县,106,24.53,22.64,29.25,23.58
A1镇,104,27.88,11.54,27.88,32.69
B1镇,104,2.88,30.77,36.54,29.81
