busi_date,dept_name,rollback_rate
2024-12-01,异常工单组,18.67
2024-12-02,业务二科,19.35
2024-12-03,业务二科,19.08
2024-12-04,客户回访三组,19.9
2024-12-05,结案二部,17.05
2024-12-06,结案二部,18.8
2024-12-07,结案一部,19.35
2024-12-08,承办单位B,18.63
2024-12-09,异常工单组,20.0
2024-12-10,业务一科,19.51
2024-12-11,异常工单组,19.92
2024-12-12,业务二科,19.47
2024-12-13,结案二部,16.92
2024-12-14,承办复核部A,19.0
2024-12-15,业务一科,17.65
2024-12-16,承办单位A,18.67
2024-12-17,热线审核中心,19.7
2024-12-18,客服二部,19.85
2024-12-19,结案二部,18.1
2024-12-20,结案二部,19.16
2024-12-21,热线复核中心,19.13
2024-12-22,结案二部,19.93
2024-12-23,客服二部,17.85
2024-12-24,承办复核部A,15.86
2024-12-25,业务一科,20.0
2024-12-26,结案一部,19.72
2024-12-27,结案一部,19.43
2024-12-28,承办单位B,15.63
2024-12-29,客户回访一组,18.52
2024-12-30,客服二部,18.75
2024-12-31,结案二部,20.0
