busi_time,reply_on_time_rate
2023-04-07,97.99
2023-04-02,96.8
2023-04-01,95.09
2023-04-27,94.66
2023-04-20,92.31
2023-04-10,90.09
2023-04-21,86.11
2023-04-30,84.45
2023-04-08,77.78
2023-04-28,75.64
2023-04-15,74.15
2023-04-09,73.11
2023-04-16,70.97
2023-04-19,69.5
2023-04-29,65.0
2023-04-05,63.3
2023-04-22,59.72
2023-04-03,59.69
2023-04-06,59.37
2023-04-17,56.82
2023-04-23,50.3
2023-04-11,47.08
2023-04-14,44.0
2023-04-24,37.46
2023-04-26,30.66
2023-04-04,26.95
2023-04-18,23.48
2023-04-12,16.45
2023-04-13,13.29
2023-04-25,10.99
