region_name,current_date,previous_orders,current_orders,growth_rate
A市,2023-01-04,178,932,423.6
B市,2023-01-25,187,914,388.77
B市,2023-01-15,104,505,385.58
A市,2023-01-21,195,916,369.74
B市,2023-01-23,170,605,255.88
B市,2023-01-28,194,583,200.52
B市,2023-01-05,210,573,172.86
B市,2023-01-20,331,834,151.96
A市,2023-01-19,403,991,145.91
B市,2023-01-09,394,921,133.76
A市,2023-01-11,397,917,130.98
A市,2023-01-25,420,876,108.57
A市,2023-01-15,345,667,93.33
B市,2023-01-02,498,870,74.7
B市,2023-01-29,583,977,67.58
A市,2023-01-31,619,994,60.58
A市,2023-01-06,425,652,53.41
A市,2023-01-27,548,839,53.1
B市,2023-01-12,631,948,50.24
B市,2023-01-18,388,552,42.27
B市,2023-01-16,505,670,32.67
A市,2023-01-10,317,397,25.24
