日期,处理阶段,逾期量,严重逾期率
2025-06-01,办理中,54,15.47
2025-06-02,待归档,53,22.09
2025-06-05,已回访,56,16.39
2025-06-07,办理中,82,46.99
2025-06-08,待归档,51,30.87
2025-06-11,待归档,57,23.43
2025-06-12,待归档,57,32.84
2025-06-13,已回访,82,30.0
2025-06-15,已回访,65,23.95
2025-06-15,受理中,62,20.74
2025-06-16,办理中,61,19.23
2025-06-21,审核中,61,27.27
2025-06-21,已回访,80,17.01
2025-06-22,办理中,62,33.85
2025-06-24,办理中,51,30.56
2025-06-24,已回访,51,24.37
2025-06-25,待归档,56,23.93
2025-06-26,审核中,94,19.27
2025-06-26,待归档,52,18.87
2025-06-27,办理中,58,25.41
2025-06-27,已回访,65,14.14
2025-06-28,审核中,53,40.0
2025-06-28,受理中,71,24.62
2025-06-28,待归档,63,21.89
2025-06-29,办理中,81,28.64
2025-06-29,待归档,66,20.74
2025-06-30,已回访,77,20.99
