busi_time,reply_on_time_rate
2025-05-16,94.5
2025-05-05,92.86
2025-05-08,92.13
2025-05-06,89.47
2025-05-25,88.69
2025-05-04,84.25
2025-05-13,79.36
2025-05-18,75.63
2025-05-11,74.85
2025-05-29,72.94
2025-05-12,71.9
2025-05-27,70.61
2025-05-02,67.56
2025-05-21,61.29
2025-05-28,58.01
2025-05-19,47.54
2025-05-30,46.55
2025-05-17,44.5
2025-05-23,44.2
2025-05-31,41.06
2025-05-09,33.68
2025-05-24,32.37
2025-05-22,31.41
2025-05-10,26.36
2025-05-15,24.16
2025-05-14,21.54
2025-05-07,21.16
2025-05-01,17.14
2025-05-26,8.73
2025-05-20,3.45
2025-05-03,1.79
