region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
A1镇,999,10.61,27.13,25.83,36.44
B市,992,6.05,19.25,25.5,49.19
B1镇,983,19.74,28.28,21.77,30.21
A1镇,978,24.34,29.75,6.95,38.96
B市,975,34.87,13.13,39.59,12.41
B县,974,48.05,31.52,19.4,1.03
A1镇,962,29.0,25.78,23.8,21.41
A县,949,42.89,25.29,9.27,22.55
A1镇,939,4.9,7.35,61.87,25.88
A1镇,937,10.46,19.1,15.37,55.07
A县,929,27.99,18.84,42.09,11.09
A县,921,37.02,22.26,0.87,39.85
B市,920,37.93,0.33,28.04,33.7
A县,918,24.84,55.66,17.86,1.63
A县,915,3.39,29.95,25.25,41.42
A县,905,26.63,45.19,20.33,7.85
B1镇,902,33.81,17.96,27.49,20.73
B市,899,26.81,33.7,38.26,1.22
B市,896,23.33,15.85,32.59,28.24
B市,894,17.0,32.77,22.48,27.74
B市,876,8.9,4.57,39.73,46.8
A县,875,19.2,1.6,41.49,37.71
B1镇,866,0.81,34.18,43.42,21.59
A县,858,14.1,10.14,41.96,33.8
A市,853,24.03,6.1,31.07,38.8
A县,848,6.84,29.13,18.04,45.99
A1镇,847,40.26,1.89,17.47,40.38
B县,847,24.56,9.45,31.17,34.83
B县,840,18.93,42.98,3.33,34.76
B1镇,815,5.15,31.78,29.2,33.87
A市,809,21.63,45.98,11.5,20.89
A市,798,21.8,26.82,14.41,36.97
A县,790,13.16,21.9,8.35,56.58
A县,787,25.16,24.02,27.83,23.0
A1镇,782,34.65,31.07,15.22,19.05
B县,782,45.91,22.38,24.81,6.91
B县,781,34.06,3.2,48.27,14.47
B1镇,773,4.27,50.97,44.11,0.65
A1镇,772,23.96,54.15,5.7,16.19
B1镇,770,19.87,15.19,48.31,16.62
A市,769,23.93,27.96,14.82,33.29
B市,766,9.14,40.99,15.14,34.73
B1镇,759,51.25,18.45,13.7,16.6
A市,751,31.69,15.45,24.63,28.23
A县,745,24.83,15.7,30.47,28.99
B市,743,22.34,38.63,12.25,26.78
B1镇,724,38.95,31.35,28.87,0.83
B市,715,2.24,28.11,61.68,7.97
A1镇,711,21.38,36.85,4.22,37.55
A1镇,710,8.87,29.72,46.62,14.79
B1镇,703,11.24,46.23,42.25,0.28
B1镇,702,4.7,7.55,7.83,79.91
B1镇,698,35.24,28.08,21.78,14.9
A市,697,25.68,2.01,37.73,34.58
B县,695,37.99,6.47,34.96,20.58
A市,689,48.19,5.08,22.64,24.09
B1镇,682,32.11,1.17,25.37,41.35
A县,674,37.54,3.26,26.85,32.34
A县,670,24.33,12.84,38.96,23.88
B1镇,668,11.23,0.15,60.63,27.99
B市,666,6.31,39.34,41.59,12.76
A市,665,39.25,37.44,2.11,21.2
B市,652,65.8,5.83,17.48,10.89
A市,634,64.2,17.19,6.15,12.46
B1镇,628,4.46,46.18,0.32,49.04
B1镇,624,31.41,21.96,16.67,29.97
B县,619,26.17,29.89,16.64,27.3
B县,616,25.16,14.61,29.71,30.52
A1镇,613,16.31,27.41,24.63,31.65
A县,613,1.96,25.61,30.51,41.92
B县,607,16.64,22.9,42.5,17.96
B县,604,32.78,33.44,16.06,17.72
B县,604,27.98,20.03,25.83,26.16
B市,603,28.69,65.51,5.47,0.33
A市,602,27.91,23.26,19.44,29.4
B县,601,30.62,11.98,21.63,35.77
B市,595,2.02,12.94,40.34,44.71
B县,592,34.63,34.12,10.98,20.27
B市,592,42.91,53.72,3.38,0.0
B市,590,29.49,37.12,8.47,24.92
A1镇,587,32.54,39.01,14.99,13.46
B1镇,584,14.04,41.95,42.64,1.37
A市,578,41.7,7.09,3.29,47.92
B市,574,39.02,7.49,17.07,36.41
A1镇,568,25.35,30.81,31.69,12.15
B市,567,13.58,43.56,38.1,4.76
A市,561,61.5,4.81,7.13,26.56
A市,560,43.04,7.32,33.04,16.61
B市,559,45.44,13.06,2.86,38.64
A市,556,12.23,27.52,31.65,28.6
A市,555,23.24,27.75,21.08,27.93
B1镇,555,32.07,26.31,28.83,12.79
A县,554,21.66,14.26,37.36,26.71
B1镇,550,23.82,30.55,24.73,20.91
A1镇,547,14.26,12.43,27.42,45.89
B市,544,25.92,67.1,0.18,6.8
B县,537,28.31,30.73,14.53,26.44
A县,532,30.45,8.27,36.47,24.81
B市,529,4.16,6.24,50.47,39.13
B1镇,517,15.86,49.71,28.63,5.8
A市,511,23.09,15.85,33.07,27.98
A县,509,35.56,28.49,28.49,7.47
A县,508,12.01,30.91,32.09,25.0
A县,507,11.64,29.59,35.5,23.27
A市,500,62.4,19.4,11.2,7.0
A县,497,13.88,32.19,40.64,13.28
B1镇,492,31.3,33.74,23.98,10.98
A1镇,490,22.45,35.31,20.82,21.43
B县,487,36.14,16.63,41.68,5.54
A市,483,15.32,4.97,30.02,49.69
B县,483,33.33,16.15,34.37,16.15
A市,478,1.88,57.95,26.57,13.6
B市,459,45.75,15.25,4.36,34.64
A市,447,9.84,50.11,2.24,37.81
B1镇,438,11.87,54.34,1.6,32.19
B1镇,434,28.57,18.89,13.36,39.17
B1镇,431,18.33,40.6,40.37,0.7
A县,419,15.99,23.87,21.0,39.14
B县,406,25.62,9.85,49.75,14.78
B县,406,7.14,28.57,26.85,37.44
A1镇,405,27.16,23.7,40.74,8.4
A1镇,390,4.87,18.97,70.0,6.15
A县,389,30.33,46.53,10.8,12.34
A1镇,387,23.0,22.74,19.9,34.37
B1镇,386,21.24,30.05,17.62,31.09
B市,377,23.08,29.71,40.58,6.63
B县,360,33.33,29.72,25.56,11.39
A1镇,355,41.13,57.18,0.56,1.13
A市,350,24.57,48.0,24.0,3.43
A1镇,342,17.54,31.29,33.04,18.13
A县,338,25.15,24.85,26.04,23.96
B1镇,334,1.2,40.42,8.68,49.7
A1镇,317,25.55,2.52,34.38,37.54
A1镇,315,1.9,37.46,36.83,23.81
A市,306,24.84,24.51,18.95,31.7
B市,304,14.8,23.68,33.22,28.29
B1镇,304,25.0,36.84,2.3,35.86
A1镇,299,38.13,45.82,2.34,13.71
B1镇,296,33.78,18.92,27.03,20.27
B县,296,39.19,8.78,26.69,25.34
A市,288,10.07,2.78,51.74,35.42
A县,284,28.52,5.99,14.44,51.06
A1镇,280,53.93,19.64,22.86,3.57
A市,275,12.36,43.27,37.82,6.55
A县,270,9.26,39.26,39.63,11.85
B1镇,264,13.26,17.42,28.41,40.91
B县,257,30.74,16.73,43.97,8.56
B市,255,30.98,21.96,38.04,9.02
B县,253,22.92,33.6,22.53,20.95
A1镇,249,13.25,14.06,31.33,41.37
B市,249,27.71,60.24,11.65,0.4
A1镇,244,43.44,21.72,19.67,15.16
A市,243,30.45,33.33,12.76,23.46
A1镇,239,35.56,9.62,14.23,40.59
A1镇,223,39.01,13.45,26.91,20.63
B县,218,21.1,39.91,19.27,19.72
A1镇,216,42.59,4.63,17.13,35.65
B县,213,17.37,18.78,19.25,44.6
B县,209,33.97,29.67,27.27,9.09
B1镇,208,21.15,31.73,22.12,25.0
A市,208,5.77,21.15,20.19,52.88
A市,205,24.88,30.73,37.56,6.83
A县,202,9.41,26.73,30.69,33.17
A县,199,5.53,52.26,38.19,4.02
A县,197,38.58,44.16,3.55,13.71
A1镇,196,34.18,28.57,20.92,16.33
A市,196,22.96,19.39,19.9,37.76
A市,194,25.26,13.92,28.35,32.47
B市,192,31.25,53.13,9.38,6.25
B县,191,24.61,30.37,18.85,26.18
B1镇,190,11.58,40.0,22.63,25.79
B县,188,43.09,19.15,29.26,8.51
B市,174,28.74,31.61,4.02,35.63
A县,173,12.14,28.32,40.46,19.08
B市,156,14.1,40.38,28.85,16.67
B市,142,56.34,23.94,8.45,11.27
B县,141,24.82,21.99,29.08,24.11
B县,140,39.29,25.0,19.29,16.43
A市,112,23.21,34.82,32.14,9.82
B县,111,30.63,35.14,34.23,0.0
