region_name,current_date,previous_orders,current_orders,growth_rate
B市,2023-05-12,172,963,459.88
B市,2023-05-23,197,901,357.36
A市,2023-05-21,107,419,291.59
B市,2023-05-17,216,808,274.07
B市,2023-05-20,202,628,210.89
A市,2023-05-19,299,929,210.7
B市,2023-05-10,321,830,158.57
B市,2023-05-08,127,326,156.69
A市,2023-05-08,417,885,112.23
B市,2023-05-26,422,885,109.72
A市,2023-05-24,355,723,103.66
A市,2023-05-22,419,849,102.63
B市,2023-05-30,147,293,99.32
A市,2023-05-31,475,938,97.47
B市,2023-05-02,355,611,72.11
A市,2023-05-30,310,475,53.23
B市,2023-05-15,627,948,51.2
A市,2023-05-04,474,686,44.73
A市,2023-05-27,423,608,43.74
A市,2023-05-17,394,543,37.82
B市,2023-05-31,293,380,29.69
A市,2023-05-13,712,914,28.37
A市,2023-05-10,758,972,28.23
A市,2023-05-06,733,926,26.33
