busi_time,reply_on_time_rate
2023-05-26,98.73
2023-05-06,97.12
2023-05-30,95.15
2023-05-04,92.96
2023-05-08,91.59
2023-05-17,88.72
2023-05-19,83.33
2023-05-09,80.24
2023-05-01,80.18
2023-05-27,77.46
2023-05-05,71.96
2023-05-23,71.26
2023-05-03,63.37
2023-05-20,61.33
2023-05-02,59.25
2023-05-15,57.45
2023-05-14,57.41
2023-05-07,50.82
2023-05-31,47.7
2023-05-25,33.22
2023-05-18,31.4
2023-05-12,29.82
2023-05-11,18.06
2023-05-28,15.38
2023-05-29,15.35
2023-05-13,15.3
2023-05-22,14.81
2023-05-16,14.38
2023-05-24,12.31
2023-05-21,3.81
2023-05-10,3.5
