月份,诉求来源,工单数量,名次
2022-07,小程序/公众号,1852,1
2022-07,网站,999,2
2022-07,来信,667,3
2022-07,电话,568,4
2022-08,小程序/公众号,1974,1
2022-08,来信,599,2
2022-08,网站,585,3
2022-08,电话,476,4
2022-09,小程序/公众号,2349,1
2022-09,来信,784,2
2022-09,网站,672,3
2022-09,电话,397,4
2022-10,小程序/公众号,2127,1
2022-10,网站,717,2
2022-10,来信,502,3
2022-10,电话,448,4
2022-11,小程序/公众号,1867,1
2022-11,网站,804,2
2022-11,电话,738,3
2022-11,来信,639,4
2022-12,小程序/公众号,2124,1
2022-12,网站,733,2
2022-12,来信,477,3
2022-12,电话,433,4
2023-01,小程序/公众号,1882,1
2023-01,网站,696,2
2023-01,电话,553,3
2023-01,来信,398,4
2023-02,小程序/公众号,1945,1
2023-02,网站,661,2
2023-02,来信,527,3
2023-02,电话,495,4
2023-03,小程序/公众号,2421,1
2023-03,网站,885,2
2023-03,电话,592,3
2023-03,来信,555,4
2023-04,小程序/公众号,2062,1
2023-04,网站,743,2
2023-04,来信,662,3
2023-04,电话,520,4
2023-05,小程序/公众号,1893,1
2023-05,网站,801,2
2023-05,来信,749,3
2023-05,电话,449,4
2023-06,小程序/公众号,2000,1
2023-06,来信,774,2
2023-06,网站,770,3
2023-06,电话,663,4
2023-07,小程序/公众号,1839,1
2023-07,网站,791,2
2023-07,来信,708,3
2023-07,电话,574,4
2023-08,小程序/公众号,1987,1
2023-08,网站,718,2
2023-08,电话,504,3
2023-08,来信,458,4
2023-09,小程序/公众号,2001,1
2023-09,来信,683,2
2023-09,网站,513,3
2023-09,电话,461,4
2023-10,小程序/公众号,2068,1
2023-10,网站,755,2
2023-10,电话,690,3
2023-10,来信,501,4
2023-11,小程序/公众号,2367,1
2023-11,网站,652,2
2023-11,来信,588,3
2023-11,电话,425,4
2023-12,小程序/公众号,2658,1
2023-12,网站,806,2
2023-12,来信,520,3
2023-12,电话,467,4
2024-01,小程序/公众号,1810,1
2024-01,网站,760,2
2024-01,来信,722,3
2024-01,电话,665,4
2024-02,小程序/公众号,2231,1
2024-02,网站,843,2
2024-02,来信,490,3
2024-02,电话,487,4
2024-03,小程序/公众号,2212,1
2024-03,网站,831,2
2024-03,来信,592,3
2024-03,电话,405,4
2024-04,小程序/公众号,2013,1
2024-04,网站,666,2
2024-04,来信,602,3
2024-04,电话,474,4
2024-05,小程序/公众号,1810,1
2024-05,网站,808,2
2024-05,电话,763,3
2024-05,来信,631,4
2024-06,小程序/公众号,2120,1
2024-06,网站,758,2
2024-06,来信,592,3
2024-06,电话,561,4
2024-07,小程序/公众号,1561,1
2024-07,网站,884,2
2024-07,电话,638,3
2024-07,来信,615,4
2024-08,小程序/公众号,2270,1
2024-08,网站,1132,2
2024-08,电话,711,3
2024-08,来信,641,4
2024-09,小程序/公众号,2383,1
2024-09,网站,636,2
2024-09,来信,531,3
2024-09,电话,487,4
2024-10,小程序/公众号,2203,1
2024-10,来信,739,2
2024-10,网站,720,3
2024-10,电话,576,4
2024-11,小程序/公众号,1873,1
2024-11,来信,739,2
2024-11,网站,650,3
2024-11,电话,540,4
2024-12,小程序/公众号,1872,1
2024-12,网站,732,2
2024-12,来信,648,3
2024-12,电话,480,4
2025-01,小程序/公众号,2516,1
2025-01,网站,711,2
2025-01,来信,668,3
2025-01,电话,546,4
2025-02,小程序/公众号,2211,1
2025-02,电话,619,2
2025-02,网站,597,3
2025-02,来信,520,4
